date,décoration mariage,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,43,False
2018-02-25,43,False
2018-03-04,57,False
2018-03-11,55,False
2018-03-18,27,False
2018-03-25,42,False
2018-04-01,56,False
2018-04-08,28,False
2018-04-15,30,False
2018-04-22,58,False
2018-04-29,60,False
2018-05-06,45,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,27,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,87,False
2018-07-01,56,False
2018-07-08,29,False
2018-07-15,32,False
2018-07-22,31,False
2018-07-29,48,False
2018-08-05,49,False
2018-08-12,67,False
2018-08-19,32,False
2018-08-26,30,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,29,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,58,False
2018-10-14,29,False
2018-10-21,44,False
2018-10-28,58,False
2018-11-04,41,False
2018-11-11,41,False
2018-11-18,0,False
2018-11-25,54,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,39,False
2019-01-27,26,False
2019-02-03,54,False
2019-02-10,29,False
2019-02-17,73,False
2019-02-24,28,False
2019-03-03,67,False
2019-03-10,27,False
2019-03-17,56,False
2019-03-24,28,False
2019-03-31,27,False
2019-04-07,40,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,36,False
2019-05-05,70,False
2019-05-12,0,False
2019-05-19,25,False
2019-05-26,73,False
2019-06-02,46,False
2019-06-09,50,False
2019-06-16,39,False
2019-06-23,78,False
2019-06-30,100,False
2019-07-07,52,False
2019-07-14,65,False
2019-07-21,27,False
2019-07-28,54,False
2019-08-04,30,False
2019-08-11,45,False
2019-08-18,62,False
2019-08-25,56,False
2019-09-01,53,False
2019-09-08,55,False
2019-09-15,41,False
2019-09-22,24,False
2019-09-29,23,False
2019-10-06,22,False
2019-10-13,45,False
2019-10-20,46,False
2019-10-27,46,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,22,False
2020-01-12,53,False
2020-01-19,0,False
2020-01-26,21,False
2020-02-02,43,False
2020-02-09,86,False
2020-02-16,33,False
2020-02-23,0,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,46,True
