date,décoration mariage,isPartial
2018-01-07,41,False
2018-01-14,0,False
2018-01-21,20,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,41,False
2018-02-18,42,False
2018-02-25,21,False
2018-03-04,43,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,33,False
2018-05-06,45,False
2018-05-13,32,False
2018-05-20,21,False
2018-05-27,51,False
2018-06-03,62,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,63,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,45,False
2018-07-29,56,False
2018-08-05,46,False
2018-08-12,0,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,43,False
2018-09-09,22,False
2018-09-16,21,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,21,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,40,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,0,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,19,False
2019-03-10,60,False
2019-03-17,21,False
2019-03-24,31,False
2019-03-31,21,False
2019-04-07,67,False
2019-04-14,22,False
2019-04-21,31,False
2019-04-28,20,False
2019-05-05,100,False
2019-05-12,42,False
2019-05-19,31,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,20,False
2019-06-16,42,False
2019-06-23,0,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,22,False
2019-08-04,43,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,20,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,19,False
2019-10-13,38,False
2019-10-20,0,False
2019-10-27,36,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,27,False
2019-11-24,35,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,40,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,34,False
2020-01-19,18,False
2020-01-26,17,False
2020-02-02,18,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,17,False
2020-03-08,33,False
2020-03-15,45,False
2020-03-22,15,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,35,True
