date,edit video,isPartial
2018-01-07,16,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,16,False
2018-02-04,23,False
2018-02-11,31,False
2018-02-18,15,False
2018-02-25,7,False
2018-03-04,8,False
2018-03-11,15,False
2018-03-18,8,False
2018-03-25,16,False
2018-04-01,34,False
2018-04-08,16,False
2018-04-15,8,False
2018-04-22,8,False
2018-04-29,24,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,16,False
2018-05-27,32,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,24,False
2018-07-15,16,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,42,False
2018-08-12,71,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,15,False
2018-09-09,8,False
2018-09-16,38,False
2018-09-23,8,False
2018-09-30,39,False
2018-10-07,16,False
2018-10-14,48,False
2018-10-21,8,False
2018-10-28,23,False
2018-11-04,8,False
2018-11-11,39,False
2018-11-18,23,False
2018-11-25,16,False
2018-12-02,32,False
2018-12-09,16,False
2018-12-16,25,False
2018-12-23,37,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,23,False
2019-01-20,15,False
2019-01-27,22,False
2019-02-03,30,False
2019-02-10,7,False
2019-02-17,8,False
2019-02-24,38,False
2019-03-03,8,False
2019-03-10,15,False
2019-03-17,16,False
2019-03-24,23,False
2019-03-31,16,False
2019-04-07,8,False
2019-04-14,24,False
2019-04-21,42,False
2019-04-28,39,False
2019-05-05,22,False
2019-05-12,15,False
2019-05-19,37,False
2019-05-26,22,False
2019-06-02,15,False
2019-06-09,31,False
2019-06-16,39,False
2019-06-23,24,False
2019-06-30,40,False
2019-07-07,31,False
2019-07-14,24,False
2019-07-21,32,False
2019-07-28,48,False
2019-08-04,25,False
2019-08-11,27,False
2019-08-18,41,False
2019-08-25,30,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,29,False
2019-09-22,14,False
2019-09-29,36,False
2019-10-06,15,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,28,False
2019-11-10,7,False
2019-11-17,21,False
2019-11-24,35,False
2019-12-01,15,False
2019-12-08,7,False
2019-12-15,7,False
2019-12-22,34,False
2019-12-29,41,False
2020-01-05,28,False
2020-01-12,41,False
2020-01-19,7,False
2020-01-26,13,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,20,False
2020-02-23,19,False
2020-03-01,25,False
2020-03-08,31,False
2020-03-15,43,False
2020-03-22,23,False
2020-03-29,71,False
2020-04-05,100,False
2020-04-12,75,False
2020-04-19,41,False
2020-04-26,51,True
