date,foto matrimonio,isPartial
2018-01-07,10,False
2018-01-14,25,False
2018-01-21,15,False
2018-01-28,29,False
2018-02-04,10,False
2018-02-11,0,False
2018-02-18,9,False
2018-02-25,14,False
2018-03-04,15,False
2018-03-11,20,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,10,False
2018-05-06,15,False
2018-05-13,61,False
2018-05-20,100,False
2018-05-27,26,False
2018-06-03,15,False
2018-06-10,9,False
2018-06-17,34,False
2018-06-24,10,False
2018-07-01,10,False
2018-07-08,10,False
2018-07-15,24,False
2018-07-22,38,False
2018-07-29,29,False
2018-08-05,19,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,26,False
2018-09-02,46,False
2018-09-09,19,False
2018-09-16,10,False
2018-09-23,15,False
2018-09-30,10,False
2018-10-07,10,False
2018-10-14,21,False
2018-10-21,10,False
2018-10-28,15,False
2018-11-04,10,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,10,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,15,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,18,False
2019-02-03,9,False
2019-02-10,0,False
2019-02-17,9,False
2019-02-24,9,False
2019-03-03,19,False
2019-03-10,14,False
2019-03-17,0,False
2019-03-24,28,False
2019-03-31,9,False
2019-04-07,9,False
2019-04-14,10,False
2019-04-21,15,False
2019-04-28,9,False
2019-05-05,0,False
2019-05-12,13,False
2019-05-19,36,False
2019-05-26,21,False
2019-06-02,14,False
2019-06-09,14,False
2019-06-16,9,False
2019-06-23,0,False
2019-06-30,19,False
2019-07-07,30,False
2019-07-14,27,False
2019-07-21,37,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,18,False
2019-08-18,9,False
2019-08-25,26,False
2019-09-01,21,False
2019-09-08,17,False
2019-09-15,42,False
2019-09-22,25,False
2019-09-29,9,False
2019-10-06,9,False
2019-10-13,18,False
2019-10-20,9,False
2019-10-27,9,False
2019-11-03,13,False
2019-11-10,9,False
2019-11-17,9,False
2019-11-24,8,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,9,False
2019-12-22,9,False
2019-12-29,0,False
2020-01-05,8,False
2020-01-12,16,False
2020-01-19,25,False
2020-01-26,8,False
2020-02-02,16,False
2020-02-09,12,False
2020-02-16,20,False
2020-02-23,8,False
2020-03-01,15,False
2020-03-08,7,False
2020-03-15,7,False
2020-03-22,6,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,7,False
2020-04-19,10,False
2020-04-26,0,True
