date,foto matrimonio,isPartial
2018-01-07,15,False
2018-01-14,23,False
2018-01-21,17,False
2018-01-28,20,False
2018-02-04,10,False
2018-02-11,5,False
2018-02-18,16,False
2018-02-25,9,False
2018-03-04,11,False
2018-03-11,9,False
2018-03-18,23,False
2018-03-25,10,False
2018-04-01,18,False
2018-04-08,18,False
2018-04-15,23,False
2018-04-22,15,False
2018-04-29,21,False
2018-05-06,22,False
2018-05-13,78,False
2018-05-20,100,False
2018-05-27,52,False
2018-06-03,26,False
2018-06-10,20,False
2018-06-17,13,False
2018-06-24,19,False
2018-07-01,21,False
2018-07-08,12,False
2018-07-15,19,False
2018-07-22,29,False
2018-07-29,22,False
2018-08-05,10,False
2018-08-12,9,False
2018-08-19,19,False
2018-08-26,32,False
2018-09-02,61,False
2018-09-09,23,False
2018-09-16,22,False
2018-09-23,9,False
2018-09-30,18,False
2018-10-07,28,False
2018-10-14,18,False
2018-10-21,16,False
2018-10-28,4,False
2018-11-04,21,False
2018-11-11,4,False
2018-11-18,7,False
2018-11-25,11,False
2018-12-02,10,False
2018-12-09,12,False
2018-12-16,10,False
2018-12-23,9,False
2018-12-30,21,False
2019-01-06,13,False
2019-01-13,22,False
2019-01-20,9,False
2019-01-27,23,False
2019-02-03,20,False
2019-02-10,5,False
2019-02-17,5,False
2019-02-24,20,False
2019-03-03,13,False
2019-03-10,13,False
2019-03-17,18,False
2019-03-24,13,False
2019-03-31,30,False
2019-04-07,19,False
2019-04-14,7,False
2019-04-21,6,False
2019-04-28,19,False
2019-05-05,22,False
2019-05-12,12,False
2019-05-19,34,False
2019-05-26,16,False
2019-06-02,25,False
2019-06-09,10,False
2019-06-16,13,False
2019-06-23,18,False
2019-06-30,19,False
2019-07-07,10,False
2019-07-14,27,False
2019-07-21,26,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,8,False
2019-09-01,21,False
2019-09-08,17,False
2019-09-15,64,False
2019-09-22,31,False
2019-09-29,12,False
2019-10-06,24,False
2019-10-13,17,False
2019-10-20,21,False
2019-10-27,10,False
2019-11-03,14,False
2019-11-10,7,False
2019-11-17,5,False
2019-11-24,14,False
2019-12-01,10,False
2019-12-08,15,False
2019-12-15,7,False
2019-12-22,9,False
2019-12-29,17,False
2020-01-05,5,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,14,False
2020-02-16,18,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,9,False
2020-03-15,4,False
2020-03-22,6,False
2020-03-29,10,False
2020-04-05,9,False
2020-04-12,15,False
2020-04-19,12,False
2020-04-26,0,True
