date,foto matrimonio,isPartial
2018-01-07,7,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,0,False
2018-02-18,7,False
2018-02-25,7,False
2018-03-04,11,False
2018-03-11,15,False
2018-03-18,12,False
2018-03-25,19,False
2018-04-01,8,False
2018-04-08,19,False
2018-04-15,8,False
2018-04-22,25,False
2018-04-29,16,False
2018-05-06,0,False
2018-05-13,77,False
2018-05-20,100,False
2018-05-27,23,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,8,False
2018-06-24,23,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,23,False
2018-07-22,12,False
2018-07-29,19,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,24,False
2018-08-26,44,False
2018-09-02,81,False
2018-09-09,11,False
2018-09-16,19,False
2018-09-23,19,False
2018-09-30,15,False
2018-10-07,32,False
2018-10-14,16,False
2018-10-21,19,False
2018-10-28,7,False
2018-11-04,7,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,16,False
2018-12-02,16,False
2018-12-09,8,False
2018-12-16,8,False
2018-12-23,14,False
2018-12-30,8,False
2019-01-06,8,False
2019-01-13,26,False
2019-01-20,14,False
2019-01-27,7,False
2019-02-03,11,False
2019-02-10,0,False
2019-02-17,7,False
2019-02-24,7,False
2019-03-03,11,False
2019-03-10,15,False
2019-03-17,11,False
2019-03-24,8,False
2019-03-31,15,False
2019-04-07,11,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,14,False
2019-05-05,28,False
2019-05-12,27,False
2019-05-19,41,False
2019-05-26,13,False
2019-06-02,29,False
2019-06-09,7,False
2019-06-16,7,False
2019-06-23,7,False
2019-06-30,11,False
2019-07-07,15,False
2019-07-14,27,False
2019-07-21,23,False
2019-07-28,19,False
2019-08-04,8,False
2019-08-11,9,False
2019-08-18,16,False
2019-08-25,18,False
2019-09-01,14,False
2019-09-08,7,False
2019-09-15,36,False
2019-09-22,29,False
2019-09-29,14,False
2019-10-06,7,False
2019-10-13,7,False
2019-10-20,7,False
2019-10-27,0,False
2019-11-03,13,False
2019-11-10,7,False
2019-11-17,7,False
2019-11-24,13,False
2019-12-01,7,False
2019-12-08,14,False
2019-12-15,7,False
2019-12-22,8,False
2019-12-29,8,False
2020-01-05,7,False
2020-01-12,16,False
2020-01-19,0,False
2020-01-26,6,False
2020-02-02,10,False
2020-02-09,7,False
2020-02-16,23,False
2020-02-23,12,False
2020-03-01,12,False
2020-03-08,12,False
2020-03-15,6,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,6,False
2020-04-12,15,False
2020-04-19,6,False
2020-04-26,20,True
