date,foto matrimonio,isPartial
2018-01-07,11,False
2018-01-14,22,False
2018-01-21,18,False
2018-01-28,7,False
2018-02-04,14,False
2018-02-11,21,False
2018-02-18,7,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,21,False
2018-03-18,7,False
2018-03-25,15,False
2018-04-01,16,False
2018-04-08,15,False
2018-04-15,11,False
2018-04-22,16,False
2018-04-29,0,False
2018-05-06,21,False
2018-05-13,52,False
2018-05-20,100,False
2018-05-27,15,False
2018-06-03,52,False
2018-06-10,25,False
2018-06-17,7,False
2018-06-24,8,False
2018-07-01,7,False
2018-07-08,11,False
2018-07-15,22,False
2018-07-22,15,False
2018-07-29,8,False
2018-08-05,17,False
2018-08-12,9,False
2018-08-19,24,False
2018-08-26,33,False
2018-09-02,47,False
2018-09-09,11,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,7,False
2018-10-07,30,False
2018-10-14,15,False
2018-10-21,7,False
2018-10-28,22,False
2018-11-04,14,False
2018-11-11,7,False
2018-11-18,11,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,7,False
2018-12-16,8,False
2018-12-23,9,False
2018-12-30,9,False
2019-01-06,15,False
2019-01-13,14,False
2019-01-20,7,False
2019-01-27,14,False
2019-02-03,7,False
2019-02-10,11,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,7,False
2019-03-10,22,False
2019-03-17,7,False
2019-03-24,0,False
2019-03-31,7,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,8,False
2019-04-28,19,False
2019-05-05,15,False
2019-05-12,14,False
2019-05-19,24,False
2019-05-26,13,False
2019-06-02,30,False
2019-06-09,18,False
2019-06-16,15,False
2019-06-23,8,False
2019-06-30,30,False
2019-07-07,14,False
2019-07-14,14,False
2019-07-21,11,False
2019-07-28,15,False
2019-08-04,8,False
2019-08-11,8,False
2019-08-18,15,False
2019-08-25,13,False
2019-09-01,19,False
2019-09-08,17,False
2019-09-15,40,False
2019-09-22,23,False
2019-09-29,13,False
2019-10-06,0,False
2019-10-13,7,False
2019-10-20,7,False
2019-10-27,13,False
2019-11-03,13,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,13,False
2019-12-01,7,False
2019-12-08,14,False
2019-12-15,10,False
2019-12-22,12,False
2019-12-29,15,False
2020-01-05,13,False
2020-01-12,0,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,12,False
2020-02-09,6,False
2020-02-16,6,False
2020-02-23,11,False
2020-03-01,14,False
2020-03-08,6,False
2020-03-15,6,False
2020-03-22,5,False
2020-03-29,8,False
2020-04-05,0,False
2020-04-12,6,False
2020-04-19,0,False
2020-04-26,14,True
