date,foto matrimonio,isPartial
2018-01-07,10,False
2018-01-14,12,False
2018-01-21,16,False
2018-01-28,9,False
2018-02-04,11,False
2018-02-11,13,False
2018-02-18,10,False
2018-02-25,10,False
2018-03-04,8,False
2018-03-11,11,False
2018-03-18,9,False
2018-03-25,13,False
2018-04-01,12,False
2018-04-08,10,False
2018-04-15,12,False
2018-04-22,13,False
2018-04-29,15,False
2018-05-06,11,False
2018-05-13,81,False
2018-05-20,100,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,14,False
2018-06-17,12,False
2018-06-24,15,False
2018-07-01,14,False
2018-07-08,9,False
2018-07-15,14,False
2018-07-22,21,False
2018-07-29,11,False
2018-08-05,13,False
2018-08-12,13,False
2018-08-19,12,False
2018-08-26,29,False
2018-09-02,48,False
2018-09-09,24,False
2018-09-16,11,False
2018-09-23,16,False
2018-09-30,11,False
2018-10-07,23,False
2018-10-14,18,False
2018-10-21,10,False
2018-10-28,11,False
2018-11-04,12,False
2018-11-11,7,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,8,False
2018-12-16,5,False
2018-12-23,8,False
2018-12-30,9,False
2019-01-06,6,False
2019-01-13,9,False
2019-01-20,9,False
2019-01-27,9,False
2019-02-03,10,False
2019-02-10,7,False
2019-02-17,7,False
2019-02-24,8,False
2019-03-03,13,False
2019-03-10,9,False
2019-03-17,9,False
2019-03-24,10,False
2019-03-31,10,False
2019-04-07,11,False
2019-04-14,8,False
2019-04-21,12,False
2019-04-28,13,False
2019-05-05,16,False
2019-05-12,13,False
2019-05-19,20,False
2019-05-26,18,False
2019-06-02,19,False
2019-06-09,11,False
2019-06-16,13,False
2019-06-23,10,False
2019-06-30,15,False
2019-07-07,15,False
2019-07-14,20,False
2019-07-21,17,False
2019-07-28,17,False
2019-08-04,10,False
2019-08-11,10,False
2019-08-18,11,False
2019-08-25,16,False
2019-09-01,11,False
2019-09-08,14,False
2019-09-15,41,False
2019-09-22,22,False
2019-09-29,10,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,14,False
2019-10-27,8,False
2019-11-03,7,False
2019-11-10,9,False
2019-11-17,7,False
2019-11-24,7,False
2019-12-01,5,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,6,False
2019-12-29,7,False
2020-01-05,6,False
2020-01-12,8,False
2020-01-19,8,False
2020-01-26,6,False
2020-02-02,12,False
2020-02-09,10,False
2020-02-16,13,False
2020-02-23,6,False
2020-03-01,7,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,4,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,5,False
2020-04-19,5,False
2020-04-26,6,True
