date,ricevimento,isPartial
2018-01-07,0,False
2018-01-14,58,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,29,False
2018-02-11,91,False
2018-02-18,84,False
2018-02-25,0,False
2018-03-04,30,False
2018-03-11,29,False
2018-03-18,57,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,30,False
2018-04-15,63,False
2018-04-22,32,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,31,False
2018-05-20,92,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,0,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,61,False
2018-07-22,30,False
2018-07-29,59,False
2018-08-05,56,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,56,False
2018-09-02,60,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,29,False
2018-10-07,31,False
2018-10-14,33,False
2018-10-21,32,False
2018-10-28,62,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,100,False
2018-12-09,65,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,94,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,59,False
2019-01-27,30,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,66,False
2019-03-10,64,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,63,False
2019-05-05,32,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,33,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,30,False
2019-07-14,92,False
2019-07-21,32,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,30,False
2019-09-15,58,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,55,False
2019-10-27,56,False
2019-11-03,52,False
2019-11-10,53,False
2019-11-17,82,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,0,False
2020-01-12,25,False
2020-01-19,52,False
2020-01-26,0,False
2020-02-02,73,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,0,False
2020-03-01,48,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
