date,ricevimento,isPartial
2018-01-07,40,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,79,False
2018-02-04,75,False
2018-02-11,28,False
2018-02-18,19,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,49,False
2018-03-18,19,False
2018-03-25,61,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,60,False
2018-04-22,21,False
2018-04-29,0,False
2018-05-06,50,False
2018-05-13,100,False
2018-05-20,51,False
2018-05-27,64,False
2018-06-03,72,False
2018-06-10,19,False
2018-06-17,48,False
2018-06-24,20,False
2018-07-01,41,False
2018-07-08,0,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,18,False
2018-08-05,17,False
2018-08-12,0,False
2018-08-19,14,False
2018-08-26,17,False
2018-09-02,39,False
2018-09-09,0,False
2018-09-16,74,False
2018-09-23,41,False
2018-09-30,30,False
2018-10-07,75,False
2018-10-14,41,False
2018-10-21,41,False
2018-10-28,60,False
2018-11-04,40,False
2018-11-11,53,False
2018-11-18,42,False
2018-11-25,41,False
2018-12-02,33,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,31,False
2019-01-13,41,False
2019-01-20,19,False
2019-01-27,39,False
2019-02-03,59,False
2019-02-10,39,False
2019-02-17,40,False
2019-02-24,40,False
2019-03-03,32,False
2019-03-10,60,False
2019-03-17,52,False
2019-03-24,41,False
2019-03-31,20,False
2019-04-07,31,False
2019-04-14,22,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,81,False
2019-05-12,40,False
2019-05-19,20,False
2019-05-26,38,False
2019-06-02,21,False
2019-06-09,22,False
2019-06-16,21,False
2019-06-23,20,False
2019-06-30,32,False
2019-07-07,50,False
2019-07-14,39,False
2019-07-21,20,False
2019-07-28,19,False
2019-08-04,17,False
2019-08-11,25,False
2019-08-18,16,False
2019-08-25,32,False
2019-09-01,73,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,41,False
2019-09-29,62,False
2019-10-06,31,False
2019-10-13,43,False
2019-10-20,31,False
2019-10-27,53,False
2019-11-03,30,False
2019-11-10,21,False
2019-11-17,63,False
2019-11-24,40,False
2019-12-01,32,False
2019-12-08,63,False
2019-12-15,63,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,75,False
2020-01-19,38,False
2020-01-26,65,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,45,False
2020-04-05,31,False
2020-04-12,16,False
2020-04-19,15,False
2020-04-26,0,True
