date,Abfallentsorgung,isPartial
2018-01-07,28,False
2018-01-14,60,False
2018-01-21,91,False
2018-01-28,30,False
2018-02-04,0,False
2018-02-11,31,False
2018-02-18,41,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,47,False
2018-03-25,31,False
2018-04-01,45,False
2018-04-08,47,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,32,False
2018-05-20,48,False
2018-05-27,46,False
2018-06-03,62,False
2018-06-10,29,False
2018-06-17,29,False
2018-06-24,45,False
2018-07-01,28,False
2018-07-08,34,False
2018-07-15,26,False
2018-07-22,24,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,57,False
2018-08-19,26,False
2018-08-26,29,False
2018-09-02,0,False
2018-09-09,30,False
2018-09-16,40,False
2018-09-23,31,False
2018-09-30,30,False
2018-10-07,32,False
2018-10-14,45,False
2018-10-21,59,False
2018-10-28,45,False
2018-11-04,30,False
2018-11-11,0,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,61,False
2018-12-16,30,False
2018-12-23,89,False
2018-12-30,100,False
2019-01-06,56,False
2019-01-13,56,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,29,False
2019-02-24,59,False
2019-03-03,83,False
2019-03-10,28,False
2019-03-17,0,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,29,False
2019-04-14,45,False
2019-04-21,28,False
2019-04-28,0,False
2019-05-05,57,False
2019-05-12,29,False
2019-05-19,83,False
2019-05-26,55,False
2019-06-02,0,False
2019-06-09,81,False
2019-06-16,28,False
2019-06-23,41,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,53,False
2019-07-28,26,False
2019-08-04,52,False
2019-08-11,50,False
2019-08-18,40,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,26,False
2019-09-15,52,False
2019-09-22,27,False
2019-09-29,26,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,25,False
2019-10-27,33,False
2019-11-03,24,False
2019-11-10,50,False
2019-11-17,25,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,53,False
2019-12-15,53,False
2019-12-22,55,False
2019-12-29,73,False
2020-01-05,36,False
2020-01-12,31,False
2020-01-19,48,False
2020-01-26,23,False
2020-02-02,47,False
2020-02-09,75,False
2020-02-16,0,False
2020-02-23,36,False
2020-03-01,60,False
2020-03-08,34,False
2020-03-15,22,False
2020-03-22,44,False
2020-03-29,28,False
2020-04-05,24,False
2020-04-12,30,False
2020-04-19,38,False
2020-04-26,44,False
2020-05-03,34,False
2020-05-10,33,False
