date,trucco matrimonio,isPartial
2018-01-07,48,False
2018-01-14,0,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,23,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,22,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,34,False
2018-03-25,0,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,36,False
2018-04-29,23,False
2018-05-06,22,False
2018-05-13,44,False
2018-05-20,100,False
2018-05-27,23,False
2018-06-03,46,False
2018-06-10,34,False
2018-06-17,46,False
2018-06-24,47,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,47,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,60,False
2018-08-26,37,False
2018-09-02,33,False
2018-09-09,54,False
2018-09-16,65,False
2018-09-23,22,False
2018-09-30,0,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,22,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,0,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,22,False
2019-03-10,44,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,45,False
2019-04-07,66,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,69,False
2019-05-05,22,False
2019-05-12,43,False
2019-05-19,0,False
2019-05-26,21,False
2019-06-02,45,False
2019-06-09,44,False
2019-06-16,66,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,45,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,49,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,49,False
2019-09-01,53,False
2019-09-08,43,False
2019-09-15,31,False
2019-09-22,41,False
2019-09-29,41,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,0,False
2019-10-27,20,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,20,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,39,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,39,False
2020-02-16,19,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
