date,empresas eventos,isPartial
2018-01-07,27,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,27,False
2018-02-04,0,False
2018-02-11,57,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,56,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,28,False
2018-04-22,27,False
2018-04-29,56,False
2018-05-06,28,False
2018-05-13,56,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,55,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,54,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,41,False
2018-10-07,27,False
2018-10-14,26,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,55,False
2018-11-18,0,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,0,False
2019-01-13,53,False
2019-01-20,25,False
2019-01-27,52,False
2019-02-03,28,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,41,False
2019-03-31,52,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,79,False
2019-06-02,40,False
2019-06-09,53,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,27,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,42,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,77,False
2019-10-06,25,False
2019-10-13,100,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,24,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,26,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,23,False
2020-02-23,24,False
2020-03-01,46,False
2020-03-08,44,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,34,True
