date,empresas eventos,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,58,False
2018-01-28,30,False
2018-02-04,29,False
2018-02-11,30,False
2018-02-18,29,False
2018-02-25,57,False
2018-03-04,0,False
2018-03-11,29,False
2018-03-18,29,False
2018-03-25,33,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,59,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,29,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,28,False
2018-06-17,60,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,63,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,30,False
2018-09-02,58,False
2018-09-09,59,False
2018-09-16,86,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,0,False
2018-10-14,85,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,58,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,44,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,90,False
2019-01-13,100,False
2019-01-20,41,False
2019-01-27,28,False
2019-02-03,58,False
2019-02-10,43,False
2019-02-17,58,False
2019-02-24,29,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,84,False
2019-04-07,0,False
2019-04-14,30,False
2019-04-21,29,False
2019-04-28,41,False
2019-05-05,0,False
2019-05-12,83,False
2019-05-19,54,False
2019-05-26,0,False
2019-06-02,54,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,56,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,31,False
2019-08-11,31,False
2019-08-18,46,False
2019-08-25,29,False
2019-09-01,54,False
2019-09-08,68,False
2019-09-15,0,False
2019-09-22,40,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,76,False
2019-10-20,38,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,39,False
2019-11-17,39,False
2019-11-24,77,False
2019-12-01,53,False
2019-12-08,41,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,40,False
2020-01-12,25,False
2020-01-19,24,False
2020-01-26,0,False
2020-02-02,26,False
2020-02-09,76,False
2020-02-16,38,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,48,False
2020-03-15,25,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,0,False
2020-04-12,0,True
