date,cameraman mariage,isPartial
2018-01-07,23,False
2018-01-14,37,False
2018-01-21,22,False
2018-01-28,23,False
2018-02-04,22,False
2018-02-11,23,False
2018-02-18,0,False
2018-02-25,46,False
2018-03-04,34,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,31,False
2018-04-01,58,False
2018-04-08,23,False
2018-04-15,25,False
2018-04-22,71,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,71,False
2018-05-27,23,False
2018-06-03,0,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,23,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,50,False
2018-08-12,26,False
2018-08-19,100,False
2018-08-26,0,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,47,False
2018-10-14,47,False
2018-10-21,35,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,30,False
2018-11-18,90,False
2018-11-25,0,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,0,False
2019-01-27,22,False
2019-02-03,44,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,47,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,35,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,69,False
2019-04-28,23,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,42,False
2019-06-09,22,False
2019-06-16,23,False
2019-06-23,22,False
2019-06-30,22,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,37,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,0,False
2019-09-29,31,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,43,False
2019-10-27,21,False
2019-11-03,21,False
2019-11-10,35,False
2019-11-17,42,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,46,False
2019-12-29,22,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,0,False
2020-04-26,17,False
2020-05-03,17,False
2020-05-10,0,False
2020-05-17,22,True
