date,Pvc verlegen,isPartial
2018-01-07,27,False
2018-01-14,54,False
2018-01-21,27,False
2018-01-28,54,False
2018-02-04,55,False
2018-02-11,27,False
2018-02-18,41,False
2018-02-25,36,False
2018-03-04,41,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,56,False
2018-04-01,28,False
2018-04-08,28,False
2018-04-15,43,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,29,False
2018-05-13,27,False
2018-05-20,28,False
2018-05-27,40,False
2018-06-03,54,False
2018-06-10,27,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,42,False
2018-07-08,57,False
2018-07-15,30,False
2018-07-22,29,False
2018-07-29,41,False
2018-08-05,34,False
2018-08-12,26,False
2018-08-19,51,False
2018-08-26,27,False
2018-09-02,36,False
2018-09-09,40,False
2018-09-16,40,False
2018-09-23,27,False
2018-09-30,28,False
2018-10-07,0,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,52,False
2018-11-11,53,False
2018-11-18,0,False
2018-11-25,27,False
2018-12-02,26,False
2018-12-09,36,False
2018-12-16,36,False
2018-12-23,60,False
2018-12-30,37,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,63,False
2019-01-27,38,False
2019-02-03,51,False
2019-02-10,52,False
2019-02-17,26,False
2019-02-24,53,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,43,False
2019-03-24,53,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,52,False
2019-05-19,25,False
2019-05-26,39,False
2019-06-02,25,False
2019-06-09,75,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,52,False
2019-07-14,27,False
2019-07-21,57,False
2019-07-28,54,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,49,False
2019-09-01,24,False
2019-09-08,100,False
2019-09-15,37,False
2019-09-22,25,False
2019-09-29,0,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,36,False
2019-11-03,23,False
2019-11-10,35,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,70,False
2019-12-15,24,False
2019-12-22,65,False
2019-12-29,49,False
2020-01-05,30,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,60,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,30,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,42,False
2020-03-29,31,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,21,False
2020-04-26,41,False
2020-05-03,31,False
2020-05-10,27,False
