date,Pvc verlegen,isPartial
2018-01-07,41,False
2018-01-14,40,False
2018-01-21,100,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,53,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,43,False
2018-04-15,65,False
2018-04-22,21,False
2018-04-29,32,False
2018-05-06,22,False
2018-05-13,61,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,40,False
2018-07-01,20,False
2018-07-08,26,False
2018-07-15,20,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,22,False
2018-08-12,34,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,53,False
2018-09-23,35,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,31,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,30,False
2018-11-18,78,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,43,False
2019-01-06,19,False
2019-01-13,28,False
2019-01-20,19,False
2019-01-27,47,False
2019-02-03,19,False
2019-02-10,38,False
2019-02-17,39,False
2019-02-24,20,False
2019-03-03,40,False
2019-03-10,26,False
2019-03-17,51,False
2019-03-24,41,False
2019-03-31,21,False
2019-04-07,20,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,19,False
2019-05-12,29,False
2019-05-19,38,False
2019-05-26,40,False
2019-06-02,20,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,20,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,63,False
2019-08-18,22,False
2019-08-25,52,False
2019-09-01,20,False
2019-09-08,39,False
2019-09-15,20,False
2019-09-22,48,False
2019-09-29,29,False
2019-10-06,25,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,0,False
2019-11-17,31,False
2019-11-24,18,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,20,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,18,False
2020-01-26,71,False
2020-02-02,29,False
2020-02-09,17,False
2020-02-16,45,False
2020-02-23,35,False
2020-03-01,26,False
2020-03-08,16,False
2020-03-15,23,False
2020-03-22,40,False
2020-03-29,32,False
2020-04-05,17,False
2020-04-12,33,False
2020-04-19,43,False
2020-04-26,21,False
2020-05-03,24,False
2020-05-10,16,False
