date,Cours de yoga,isPartial
2018-01-07,20,False
2018-01-14,39,False
2018-01-21,39,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,50,False
2018-02-18,27,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,20,False
2018-04-01,20,False
2018-04-08,41,False
2018-04-15,42,False
2018-04-22,0,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,21,False
2018-05-20,42,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,100,False
2018-07-08,42,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,41,False
2018-08-05,20,False
2018-08-12,30,False
2018-08-19,48,False
2018-08-26,61,False
2018-09-02,48,False
2018-09-09,97,False
2018-09-16,34,False
2018-09-23,63,False
2018-09-30,41,False
2018-10-07,21,False
2018-10-14,36,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,20,False
2018-11-11,42,False
2018-11-18,30,False
2018-11-25,33,False
2018-12-02,20,False
2018-12-09,21,False
2018-12-16,28,False
2018-12-23,22,False
2018-12-30,65,False
2019-01-06,41,False
2019-01-13,34,False
2019-01-20,39,False
2019-01-27,20,False
2019-02-03,0,False
2019-02-10,53,False
2019-02-17,21,False
2019-02-24,20,False
2019-03-03,0,False
2019-03-10,54,False
2019-03-17,21,False
2019-03-24,63,False
2019-03-31,21,False
2019-04-07,43,False
2019-04-14,0,False
2019-04-21,40,False
2019-04-28,39,False
2019-05-05,39,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,30,False
2019-06-02,19,False
2019-06-09,38,False
2019-06-16,30,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,39,False
2019-07-14,32,False
2019-07-21,33,False
2019-07-28,19,False
2019-08-04,25,False
2019-08-11,30,False
2019-08-18,58,False
2019-08-25,56,False
2019-09-01,63,False
2019-09-08,47,False
2019-09-15,51,False
2019-09-22,27,False
2019-09-29,64,False
2019-10-06,37,False
2019-10-13,46,False
2019-10-20,36,False
2019-10-27,17,False
2019-11-03,18,False
2019-11-10,30,False
2019-11-17,18,False
2019-11-24,34,False
2019-12-01,29,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,19,False
2019-12-29,28,False
2020-01-05,17,False
2020-01-12,50,False
2020-01-19,35,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,41,False
2020-03-15,29,False
2020-03-22,79,False
2020-03-29,28,False
2020-04-05,23,False
2020-04-12,29,False
2020-04-19,19,False
2020-04-26,20,False
2020-05-03,13,False
2020-05-10,15,False
2020-05-17,16,False
2020-05-24,23,False
2020-05-31,44,False
2020-06-07,19,False
2020-06-14,38,False
2020-06-21,57,True
