date,Fioraio,isPartial
2018-01-07,91,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,15,False
2018-02-25,22,False
2018-03-04,48,False
2018-03-11,15,False
2018-03-18,61,False
2018-03-25,17,False
2018-04-01,16,False
2018-04-08,24,False
2018-04-15,33,False
2018-04-22,17,False
2018-04-29,47,False
2018-05-06,32,False
2018-05-13,17,False
2018-05-20,16,False
2018-05-27,24,False
2018-06-03,63,False
2018-06-10,29,False
2018-06-17,32,False
2018-06-24,49,False
2018-07-01,48,False
2018-07-08,48,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,23,False
2018-08-12,28,False
2018-08-19,30,False
2018-08-26,15,False
2018-09-02,16,False
2018-09-09,25,False
2018-09-16,32,False
2018-09-23,33,False
2018-09-30,47,False
2018-10-07,25,False
2018-10-14,35,False
2018-10-21,26,False
2018-10-28,17,False
2018-11-04,17,False
2018-11-11,17,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,18,False
2018-12-09,26,False
2018-12-16,36,False
2018-12-23,19,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,50,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,48,False
2019-02-17,33,False
2019-02-24,74,False
2019-03-03,43,False
2019-03-10,34,False
2019-03-17,35,False
2019-03-24,52,False
2019-03-31,35,False
2019-04-07,26,False
2019-04-14,54,False
2019-04-21,18,False
2019-04-28,34,False
2019-05-05,42,False
2019-05-12,65,False
2019-05-19,100,False
2019-05-26,46,False
2019-06-02,70,False
2019-06-09,44,False
2019-06-16,35,False
2019-06-23,26,False
2019-06-30,43,False
2019-07-07,24,False
2019-07-14,41,False
2019-07-21,17,False
2019-07-28,16,False
2019-08-04,24,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,29,False
2019-09-08,24,False
2019-09-15,46,False
2019-09-22,23,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,47,False
2019-10-20,22,False
2019-10-27,45,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,59,False
2019-11-24,29,False
2019-12-01,22,False
2019-12-08,45,False
2019-12-15,15,False
2019-12-22,0,False
2019-12-29,15,False
2020-01-05,21,False
2020-01-12,47,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,39,False
2020-02-09,62,False
2020-02-16,21,False
2020-02-23,26,False
2020-03-01,32,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,18,False
2020-04-05,38,False
2020-04-12,38,False
2020-04-19,24,False
2020-04-26,43,True
