date,entrenador personal online,isPartial
2018-01-07,37,False
2018-01-14,57,False
2018-01-21,46,False
2018-01-28,28,False
2018-02-04,55,False
2018-02-11,43,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,42,False
2018-03-25,31,False
2018-04-01,57,False
2018-04-08,35,False
2018-04-15,28,False
2018-04-22,55,False
2018-04-29,56,False
2018-05-06,54,False
2018-05-13,28,False
2018-05-20,55,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,29,False
2018-06-24,43,False
2018-07-01,57,False
2018-07-08,84,False
2018-07-15,88,False
2018-07-22,59,False
2018-07-29,59,False
2018-08-05,29,False
2018-08-12,80,False
2018-08-19,30,False
2018-08-26,29,False
2018-09-02,64,False
2018-09-09,82,False
2018-09-16,54,False
2018-09-23,67,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,40,False
2018-10-21,69,False
2018-10-28,56,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,27,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,38,False
2018-12-23,32,False
2018-12-30,51,False
2019-01-06,42,False
2019-01-13,40,False
2019-01-20,89,False
2019-01-27,38,False
2019-02-03,27,False
2019-02-10,54,False
2019-02-17,54,False
2019-02-24,26,False
2019-03-03,55,False
2019-03-10,28,False
2019-03-17,55,False
2019-03-24,37,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,54,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,53,False
2019-05-19,35,False
2019-05-26,39,False
2019-06-02,64,False
2019-06-09,0,False
2019-06-16,45,False
2019-06-23,55,False
2019-06-30,64,False
2019-07-07,53,False
2019-07-14,37,False
2019-07-21,56,False
2019-07-28,43,False
2019-08-04,43,False
2019-08-11,29,False
2019-08-18,84,False
2019-08-25,54,False
2019-09-01,51,False
2019-09-08,25,False
2019-09-15,58,False
2019-09-22,38,False
2019-09-29,38,False
2019-10-06,37,False
2019-10-13,49,False
2019-10-20,37,False
2019-10-27,25,False
2019-11-03,40,False
2019-11-10,56,False
2019-11-17,24,False
2019-11-24,31,False
2019-12-01,50,False
2019-12-08,38,False
2019-12-15,24,False
2019-12-22,55,False
2019-12-29,27,False
2020-01-05,41,False
2020-01-12,34,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,82,False
2020-02-09,47,False
2020-02-16,31,False
2020-02-23,23,False
2020-03-01,44,False
2020-03-08,22,False
2020-03-15,43,False
2020-03-22,47,False
2020-03-29,71,False
2020-04-05,86,False
2020-04-12,62,False
2020-04-19,80,False
2020-04-26,34,False
2020-05-03,100,False
2020-05-10,47,False
2020-05-17,36,True
