date,Schlüsseldienst Notdienst,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,38,False
2018-02-04,39,False
2018-02-11,35,False
2018-02-18,39,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,25,False
2018-03-18,39,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,35,False
2018-04-15,40,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,39,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,26,False
2018-06-10,38,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,40,False
2018-07-29,27,False
2018-08-05,40,False
2018-08-12,27,False
2018-08-19,67,False
2018-08-26,54,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,51,False
2018-10-14,26,False
2018-10-21,34,False
2018-10-28,34,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,51,False
2018-12-02,37,False
2018-12-09,50,False
2018-12-16,26,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,47,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,49,False
2019-02-17,25,False
2019-02-24,33,False
2019-03-03,24,False
2019-03-10,48,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,100,False
2019-04-07,24,False
2019-04-14,54,False
2019-04-21,52,False
2019-04-28,41,False
2019-05-05,32,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,32,False
2019-06-09,50,False
2019-06-16,59,False
2019-06-23,37,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,25,False
2019-07-21,44,False
2019-07-28,26,False
2019-08-04,26,False
2019-08-11,49,False
2019-08-18,25,False
2019-08-25,25,False
2019-09-01,36,False
2019-09-08,74,False
2019-09-15,37,False
2019-09-22,63,False
2019-09-29,60,False
2019-10-06,36,False
2019-10-13,47,False
2019-10-20,47,False
2019-10-27,23,False
2019-11-03,44,False
2019-11-10,34,False
2019-11-17,34,False
2019-11-24,22,False
2019-12-01,45,False
2019-12-08,68,False
2019-12-15,23,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,36,False
2020-01-26,32,False
2020-02-02,22,False
2020-02-09,21,False
2020-02-16,66,False
2020-02-23,42,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,49,False
2020-05-03,20,False
2020-05-10,20,False
