date,faire le jardin,isPartial
2018-01-07,53,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,0,False
2018-02-18,39,False
2018-02-25,26,False
2018-03-04,27,False
2018-03-11,40,False
2018-03-18,27,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,26,False
2018-04-15,28,False
2018-04-22,70,False
2018-04-29,27,False
2018-05-06,63,False
2018-05-13,0,False
2018-05-20,55,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,54,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,53,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,38,False
2018-08-12,52,False
2018-08-19,36,False
2018-08-26,54,False
2018-09-02,41,False
2018-09-09,27,False
2018-09-16,55,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,0,False
2018-10-21,29,False
2018-10-28,27,False
2018-11-04,40,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,55,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,0,False
2019-02-17,29,False
2019-02-24,28,False
2019-03-03,41,False
2019-03-10,28,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,28,False
2019-04-21,26,False
2019-04-28,54,False
2019-05-05,40,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,53,False
2019-06-02,49,False
2019-06-09,100,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,26,False
2019-07-28,26,False
2019-08-04,77,False
2019-08-11,47,False
2019-08-18,22,False
2019-08-25,0,False
2019-09-01,50,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,38,False
2019-10-06,0,False
2019-10-13,37,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,24,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,23,False
2020-01-12,23,False
2020-01-19,35,False
2020-01-26,47,False
2020-02-02,23,False
2020-02-09,0,False
2020-02-16,46,False
2020-02-23,44,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,30,False
2020-03-22,26,False
2020-03-29,39,False
2020-04-05,39,False
2020-04-12,53,False
2020-04-19,38,False
2020-04-26,37,False
2020-05-03,49,False
2020-05-10,19,False
2020-05-17,36,True
