date,faire le jardin,isPartial
2018-01-07,33,False
2018-01-14,14,False
2018-01-21,18,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,36,False
2018-02-18,46,False
2018-02-25,15,False
2018-03-04,43,False
2018-03-11,29,False
2018-03-18,14,False
2018-03-25,29,False
2018-04-01,45,False
2018-04-08,36,False
2018-04-15,36,False
2018-04-22,30,False
2018-04-29,64,False
2018-05-06,83,False
2018-05-13,19,False
2018-05-20,44,False
2018-05-27,32,False
2018-06-03,42,False
2018-06-10,32,False
2018-06-17,23,False
2018-06-24,28,False
2018-07-01,23,False
2018-07-08,49,False
2018-07-15,32,False
2018-07-22,16,False
2018-07-29,17,False
2018-08-05,35,False
2018-08-12,80,False
2018-08-19,46,False
2018-08-26,36,False
2018-09-02,19,False
2018-09-09,28,False
2018-09-16,42,False
2018-09-23,33,False
2018-09-30,14,False
2018-10-07,56,False
2018-10-14,31,False
2018-10-21,18,False
2018-10-28,15,False
2018-11-04,28,False
2018-11-11,13,False
2018-11-18,18,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,22,False
2018-12-16,22,False
2018-12-23,35,False
2018-12-30,38,False
2019-01-06,28,False
2019-01-13,14,False
2019-01-20,28,False
2019-01-27,14,False
2019-02-03,26,False
2019-02-10,28,False
2019-02-17,35,False
2019-02-24,34,False
2019-03-03,23,False
2019-03-10,14,False
2019-03-17,43,False
2019-03-24,40,False
2019-03-31,29,False
2019-04-07,40,False
2019-04-14,46,False
2019-04-21,32,False
2019-04-28,58,False
2019-05-05,52,False
2019-05-12,45,False
2019-05-19,22,False
2019-05-26,41,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,74,False
2019-06-23,45,False
2019-06-30,22,False
2019-07-07,41,False
2019-07-14,27,False
2019-07-21,23,False
2019-07-28,18,False
2019-08-04,47,False
2019-08-11,59,False
2019-08-18,56,False
2019-08-25,27,False
2019-09-01,20,False
2019-09-08,36,False
2019-09-15,43,False
2019-09-22,23,False
2019-09-29,28,False
2019-10-06,14,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,22,False
2019-11-03,14,False
2019-11-10,19,False
2019-11-17,14,False
2019-11-24,21,False
2019-12-01,18,False
2019-12-08,20,False
2019-12-15,28,False
2019-12-22,26,False
2019-12-29,37,False
2020-01-05,41,False
2020-01-12,18,False
2020-01-19,28,False
2020-01-26,20,False
2020-02-02,32,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,26,False
2020-03-15,60,False
2020-03-22,52,False
2020-03-29,84,False
2020-04-05,55,False
2020-04-12,38,False
2020-04-19,100,False
2020-04-26,62,False
2020-05-03,65,False
2020-05-10,36,False
2020-05-17,44,True
