date,faire le jardin,isPartial
2018-01-07,22,False
2018-01-14,18,False
2018-01-21,18,False
2018-01-28,33,False
2018-02-04,12,False
2018-02-11,22,False
2018-02-18,26,False
2018-02-25,13,False
2018-03-04,25,False
2018-03-11,36,False
2018-03-18,16,False
2018-03-25,27,False
2018-04-01,26,False
2018-04-08,14,False
2018-04-15,53,False
2018-04-22,32,False
2018-04-29,31,False
2018-05-06,66,False
2018-05-13,27,False
2018-05-20,36,False
2018-05-27,40,False
2018-06-03,38,False
2018-06-10,15,False
2018-06-17,30,False
2018-06-24,35,False
2018-07-01,19,False
2018-07-08,24,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,35,False
2018-08-05,40,False
2018-08-12,44,False
2018-08-19,33,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,32,False
2018-09-16,22,False
2018-09-23,14,False
2018-09-30,18,False
2018-10-07,21,False
2018-10-14,18,False
2018-10-21,29,False
2018-10-28,16,False
2018-11-04,14,False
2018-11-11,14,False
2018-11-18,12,False
2018-11-25,12,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,6,False
2018-12-23,15,False
2018-12-30,26,False
2019-01-06,15,False
2019-01-13,22,False
2019-01-20,14,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,19,False
2019-02-24,41,False
2019-03-03,23,False
2019-03-10,20,False
2019-03-17,35,False
2019-03-24,40,False
2019-03-31,25,False
2019-04-07,37,False
2019-04-14,32,False
2019-04-21,39,False
2019-04-28,39,False
2019-05-05,34,False
2019-05-12,25,False
2019-05-19,31,False
2019-05-26,39,False
2019-06-02,28,False
2019-06-09,33,False
2019-06-16,45,False
2019-06-23,29,False
2019-06-30,26,False
2019-07-07,23,False
2019-07-14,45,False
2019-07-21,16,False
2019-07-28,27,False
2019-08-04,15,False
2019-08-11,32,False
2019-08-18,38,False
2019-08-25,28,False
2019-09-01,15,False
2019-09-08,27,False
2019-09-15,31,False
2019-09-22,27,False
2019-09-29,20,False
2019-10-06,19,False
2019-10-13,23,False
2019-10-20,22,False
2019-10-27,13,False
2019-11-03,23,False
2019-11-10,21,False
2019-11-17,17,False
2019-11-24,14,False
2019-12-01,12,False
2019-12-08,10,False
2019-12-15,4,False
2019-12-22,9,False
2019-12-29,21,False
2020-01-05,15,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,24,False
2020-02-09,16,False
2020-02-16,32,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,26,False
2020-03-15,67,False
2020-03-22,57,False
2020-03-29,64,False
2020-04-05,100,False
2020-04-12,73,False
2020-04-19,79,False
2020-04-26,53,False
2020-05-03,58,False
2020-05-10,50,False
2020-05-17,63,True
