date,faire le jardin,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,61,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,31,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,31,False
2018-05-20,31,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,47,False
2018-07-08,100,False
2018-07-15,0,False
2018-07-22,35,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,33,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,47,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,59,False
2019-05-12,46,False
2019-05-19,30,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,62,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,28,False
2019-10-13,42,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,0,False
2020-01-12,26,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,26,False
2020-03-01,25,False
2020-03-08,25,False
2020-03-15,22,False
2020-03-22,29,False
2020-03-29,64,False
2020-04-05,44,False
2020-04-12,23,False
2020-04-19,34,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,34,False
2020-05-17,55,True
