date,abiti eleganti uomo,isPartial
2018-01-07,51,False
2018-01-14,14,False
2018-01-21,28,False
2018-01-28,35,False
2018-02-04,42,False
2018-02-11,63,False
2018-02-18,14,False
2018-02-25,27,False
2018-03-04,41,False
2018-03-11,69,False
2018-03-18,21,False
2018-03-25,29,False
2018-04-01,45,False
2018-04-08,21,False
2018-04-15,36,False
2018-04-22,15,False
2018-04-29,50,False
2018-05-06,49,False
2018-05-13,78,False
2018-05-20,71,False
2018-05-27,36,False
2018-06-03,86,False
2018-06-10,27,False
2018-06-17,35,False
2018-06-24,50,False
2018-07-01,91,False
2018-07-08,28,False
2018-07-15,43,False
2018-07-22,36,False
2018-07-29,74,False
2018-08-05,53,False
2018-08-12,16,False
2018-08-19,47,False
2018-08-26,44,False
2018-09-02,55,False
2018-09-09,35,False
2018-09-16,55,False
2018-09-23,35,False
2018-09-30,42,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,42,False
2018-10-28,21,False
2018-11-04,41,False
2018-11-11,14,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,36,False
2018-12-09,28,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,31,False
2019-01-06,57,False
2019-01-13,21,False
2019-01-20,67,False
2019-01-27,33,False
2019-02-03,20,False
2019-02-10,40,False
2019-02-17,48,False
2019-02-24,48,False
2019-03-03,50,False
2019-03-10,28,False
2019-03-17,64,False
2019-03-24,64,False
2019-03-31,56,False
2019-04-07,55,False
2019-04-14,58,False
2019-04-21,45,False
2019-04-28,42,False
2019-05-05,34,False
2019-05-12,47,False
2019-05-19,40,False
2019-05-26,26,False
2019-06-02,63,False
2019-06-09,42,False
2019-06-16,21,False
2019-06-23,72,False
2019-06-30,100,False
2019-07-07,20,False
2019-07-14,43,False
2019-07-21,36,False
2019-07-28,22,False
2019-08-04,30,False
2019-08-11,79,False
2019-08-18,37,False
2019-08-25,14,False
2019-09-01,38,False
2019-09-08,53,False
2019-09-15,26,False
2019-09-22,39,False
2019-09-29,39,False
2019-10-06,40,False
2019-10-13,39,False
2019-10-20,25,False
2019-10-27,39,False
2019-11-03,56,False
2019-11-10,44,False
2019-11-17,38,False
2019-11-24,13,False
2019-12-01,26,False
2019-12-08,53,False
2019-12-15,20,False
2019-12-22,30,False
2019-12-29,29,False
2020-01-05,45,False
2020-01-12,18,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,36,False
2020-02-09,37,False
2020-02-16,61,False
2020-02-23,40,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,11,False
2020-03-22,15,False
2020-03-29,16,False
2020-04-05,11,False
2020-04-12,0,False
2020-04-19,10,False
2020-04-26,0,True
