date,recogidos novia,isPartial
2018-01-07,22,False
2018-01-14,28,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,28,False
2018-02-11,34,False
2018-02-18,51,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,49,False
2018-03-18,28,False
2018-03-25,100,False
2018-04-01,40,False
2018-04-08,27,False
2018-04-15,33,False
2018-04-22,22,False
2018-04-29,34,False
2018-05-06,59,False
2018-05-13,56,False
2018-05-20,27,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,37,False
2018-06-17,34,False
2018-06-24,28,False
2018-07-01,34,False
2018-07-08,44,False
2018-07-15,46,False
2018-07-22,23,False
2018-07-29,29,False
2018-08-05,35,False
2018-08-12,24,False
2018-08-19,36,False
2018-08-26,11,False
2018-09-02,22,False
2018-09-09,76,False
2018-09-16,33,False
2018-09-23,21,False
2018-09-30,22,False
2018-10-07,33,False
2018-10-14,37,False
2018-10-21,38,False
2018-10-28,34,False
2018-11-04,42,False
2018-11-11,27,False
2018-11-18,10,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,23,False
2018-12-23,19,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,15,False
2019-02-03,16,False
2019-02-10,21,False
2019-02-17,38,False
2019-02-24,37,False
2019-03-03,44,False
2019-03-10,33,False
2019-03-17,28,False
2019-03-24,49,False
2019-03-31,47,False
2019-04-07,42,False
2019-04-14,28,False
2019-04-21,48,False
2019-04-28,11,False
2019-05-05,21,False
2019-05-12,42,False
2019-05-19,36,False
2019-05-26,36,False
2019-06-02,41,False
2019-06-09,36,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,22,False
2019-07-07,48,False
2019-07-14,22,False
2019-07-21,33,False
2019-07-28,34,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,28,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,20,False
2019-10-06,15,False
2019-10-13,29,False
2019-10-20,19,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,10,False
2019-11-24,9,False
2019-12-01,10,False
2019-12-08,15,False
2019-12-15,29,False
2019-12-22,11,False
2019-12-29,11,False
2020-01-05,15,False
2020-01-12,18,False
2020-01-19,13,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,18,False
2020-03-01,22,False
2020-03-08,17,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,12,False
2020-04-05,9,False
2020-04-12,14,True
