date,peinados para boda,isPartial
2018-01-07,36,False
2018-01-14,18,False
2018-01-21,18,False
2018-01-28,18,False
2018-02-04,0,False
2018-02-11,37,False
2018-02-18,55,False
2018-02-25,0,False
2018-03-04,18,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,24,False
2018-04-01,18,False
2018-04-08,51,False
2018-04-15,53,False
2018-04-22,44,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,37,False
2018-05-20,18,False
2018-05-27,68,False
2018-06-03,52,False
2018-06-10,26,False
2018-06-17,47,False
2018-06-24,38,False
2018-07-01,39,False
2018-07-08,100,False
2018-07-15,32,False
2018-07-22,33,False
2018-07-29,23,False
2018-08-05,85,False
2018-08-12,52,False
2018-08-19,24,False
2018-08-26,75,False
2018-09-02,47,False
2018-09-09,73,False
2018-09-16,26,False
2018-09-23,17,False
2018-09-30,52,False
2018-10-07,18,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,18,False
2018-11-04,23,False
2018-11-11,16,False
2018-11-18,16,False
2018-11-25,0,False
2018-12-02,17,False
2018-12-09,0,False
2018-12-16,18,False
2018-12-23,21,False
2018-12-30,56,False
2019-01-06,27,False
2019-01-13,17,False
2019-01-20,16,False
2019-01-27,15,False
2019-02-03,17,False
2019-02-10,17,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,43,False
2019-03-10,17,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,25,False
2019-04-07,45,False
2019-04-14,43,False
2019-04-21,43,False
2019-04-28,36,False
2019-05-05,53,False
2019-05-12,34,False
2019-05-19,0,False
2019-05-26,81,False
2019-06-02,56,False
2019-06-09,16,False
2019-06-16,60,False
2019-06-23,18,False
2019-06-30,36,False
2019-07-07,52,False
2019-07-14,30,False
2019-07-21,67,False
2019-07-28,44,False
2019-08-04,23,False
2019-08-11,51,False
2019-08-18,47,False
2019-08-25,41,False
2019-09-01,41,False
2019-09-08,25,False
2019-09-15,78,False
2019-09-22,16,False
2019-09-29,32,False
2019-10-06,24,False
2019-10-13,16,False
2019-10-20,31,False
2019-10-27,16,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,23,False
2019-11-24,14,False
2019-12-01,0,False
2019-12-08,32,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,15,False
2020-02-02,15,False
2020-02-09,15,False
2020-02-16,15,False
2020-02-23,15,False
2020-03-01,28,False
2020-03-08,14,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,24,True
