date,peinados para boda,isPartial
2018-01-07,20,False
2018-01-14,0,False
2018-01-21,10,False
2018-01-28,20,False
2018-02-04,0,False
2018-02-11,31,False
2018-02-18,10,False
2018-02-25,19,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,0,False
2018-03-25,11,False
2018-04-01,20,False
2018-04-08,48,False
2018-04-15,52,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,40,False
2018-05-13,10,False
2018-05-20,0,False
2018-05-27,21,False
2018-06-03,100,False
2018-06-10,20,False
2018-06-17,42,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,61,False
2018-07-15,21,False
2018-07-22,10,False
2018-07-29,61,False
2018-08-05,40,False
2018-08-12,40,False
2018-08-19,61,False
2018-08-26,100,False
2018-09-02,70,False
2018-09-09,30,False
2018-09-16,60,False
2018-09-23,79,False
2018-09-30,80,False
2018-10-07,20,False
2018-10-14,39,False
2018-10-21,10,False
2018-10-28,20,False
2018-11-04,10,False
2018-11-11,10,False
2018-11-18,9,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,11,False
2018-12-23,0,False
2018-12-30,11,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,9,False
2019-02-03,20,False
2019-02-10,10,False
2019-02-17,20,False
2019-02-24,11,False
2019-03-03,10,False
2019-03-10,32,False
2019-03-17,10,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,10,False
2019-04-14,0,False
2019-04-21,38,False
2019-04-28,10,False
2019-05-05,41,False
2019-05-12,10,False
2019-05-19,10,False
2019-05-26,30,False
2019-06-02,10,False
2019-06-09,20,False
2019-06-16,72,False
2019-06-23,40,False
2019-06-30,40,False
2019-07-07,20,False
2019-07-14,30,False
2019-07-21,51,False
2019-07-28,51,False
2019-08-04,30,False
2019-08-11,39,False
2019-08-18,10,False
2019-08-25,37,False
2019-09-01,56,False
2019-09-08,55,False
2019-09-15,0,False
2019-09-22,47,False
2019-09-29,10,False
2019-10-06,38,False
2019-10-13,28,False
2019-10-20,19,False
2019-10-27,18,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,9,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,24,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,9,False
2020-02-16,9,False
2020-02-23,0,False
2020-03-01,8,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,8,False
2020-04-12,25,True
