date,Laminat verlegen,isPartial
2018-01-07,31,False
2018-01-14,30,False
2018-01-21,45,False
2018-01-28,30,False
2018-02-04,45,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,44,False
2018-03-04,30,False
2018-03-11,76,False
2018-03-18,29,False
2018-03-25,62,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,47,False
2018-04-22,30,False
2018-04-29,32,False
2018-05-06,34,False
2018-05-13,31,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,76,False
2018-06-10,43,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,68,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,30,False
2018-08-19,63,False
2018-08-26,32,False
2018-09-02,31,False
2018-09-09,0,False
2018-09-16,61,False
2018-09-23,31,False
2018-09-30,34,False
2018-10-07,66,False
2018-10-14,0,False
2018-10-21,59,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,47,False
2018-12-23,65,False
2018-12-30,35,False
2019-01-06,38,False
2019-01-13,56,False
2019-01-20,38,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,48,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,45,False
2019-03-10,60,False
2019-03-17,59,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,32,False
2019-04-21,33,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,31,False
2019-05-19,29,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,34,False
2019-07-14,36,False
2019-07-21,38,False
2019-07-28,36,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,49,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,30,False
2019-09-29,44,False
2019-10-06,64,False
2019-10-13,60,False
2019-10-20,41,False
2019-10-27,31,False
2019-11-03,29,False
2019-11-10,61,False
2019-11-17,41,False
2019-11-24,29,False
2019-12-01,31,False
2019-12-08,62,False
2019-12-15,0,False
2019-12-22,43,False
2019-12-29,55,False
2020-01-05,28,False
2020-01-12,38,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,57,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,37,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,0,False
2020-05-03,55,False
2020-05-10,22,False
