date,Markisen Reparatur,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,33,False
2018-04-08,32,False
2018-04-15,48,False
2018-04-22,73,False
2018-04-29,81,False
2018-05-06,65,False
2018-05-13,31,False
2018-05-20,55,False
2018-05-27,64,False
2018-06-03,31,False
2018-06-10,40,False
2018-06-17,30,False
2018-06-24,73,False
2018-07-01,62,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,64,False
2018-07-29,48,False
2018-08-05,64,False
2018-08-12,49,False
2018-08-19,80,False
2018-08-26,95,False
2018-09-02,63,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,32,False
2018-09-30,47,False
2018-10-07,63,False
2018-10-14,94,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,59,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,62,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,40,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,50,False
2019-03-24,45,False
2019-03-31,44,False
2019-04-07,30,False
2019-04-14,65,False
2019-04-21,52,False
2019-04-28,29,False
2019-05-05,29,False
2019-05-12,44,False
2019-05-19,43,False
2019-05-26,89,False
2019-06-02,68,False
2019-06-09,50,False
2019-06-16,90,False
2019-06-23,100,False
2019-06-30,88,False
2019-07-07,44,False
2019-07-14,46,False
2019-07-21,85,False
2019-07-28,41,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,50,False
2019-08-25,45,False
2019-09-01,39,False
2019-09-08,44,False
2019-09-15,49,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,56,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,39,False
2020-01-12,0,False
2020-01-19,52,False
2020-01-26,39,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,31,False
2020-04-05,26,False
2020-04-12,24,False
2020-04-19,64,False
2020-04-26,23,False
2020-05-03,35,False
2020-05-10,63,False
