date,Reinigungsservice,isPartial
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,43,False
2018-01-28,59,False
2018-02-04,60,False
2018-02-11,59,False
2018-02-18,30,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,29,False
2018-03-18,45,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,51,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,63,False
2018-05-06,32,False
2018-05-13,41,False
2018-05-20,66,False
2018-05-27,49,False
2018-06-03,31,False
2018-06-10,60,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,60,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,49,False
2018-08-12,33,False
2018-08-19,100,False
2018-08-26,83,False
2018-09-02,47,False
2018-09-09,41,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,62,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,44,False
2018-10-28,29,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,85,False
2018-12-02,86,False
2018-12-09,57,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,72,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,29,False
2019-03-03,56,False
2019-03-10,41,False
2019-03-17,29,False
2019-03-24,57,False
2019-03-31,28,False
2019-04-07,56,False
2019-04-14,60,False
2019-04-21,30,False
2019-04-28,71,False
2019-05-05,45,False
2019-05-12,28,False
2019-05-19,41,False
2019-05-26,57,False
2019-06-02,57,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,64,False
2019-07-14,76,False
2019-07-21,30,False
2019-07-28,45,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,46,False
2019-08-25,63,False
2019-09-01,58,False
2019-09-08,56,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,56,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,35,False
2019-10-27,27,False
2019-11-03,77,False
2019-11-10,53,False
2019-11-17,65,False
2019-11-24,51,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,29,False
2020-01-05,26,False
2020-01-12,49,False
2020-01-19,50,False
2020-01-26,25,False
2020-02-02,37,False
2020-02-09,49,False
2020-02-16,52,False
2020-02-23,25,False
2020-03-01,73,False
2020-03-08,23,False
2020-03-15,34,False
2020-03-22,66,False
2020-03-29,22,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,0,False
2020-05-03,22,False
2020-05-10,37,False
