date,Natursteinpflaster,isPartial
2018-01-07,38,False
2018-01-14,23,False
2018-01-21,38,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,16,False
2018-02-18,31,False
2018-02-25,46,False
2018-03-04,31,False
2018-03-11,15,False
2018-03-18,31,False
2018-03-25,50,False
2018-04-01,41,False
2018-04-08,24,False
2018-04-15,57,False
2018-04-22,55,False
2018-04-29,65,False
2018-05-06,57,False
2018-05-13,47,False
2018-05-20,50,False
2018-05-27,32,False
2018-06-03,39,False
2018-06-10,53,False
2018-06-17,39,False
2018-06-24,64,False
2018-07-01,31,False
2018-07-08,31,False
2018-07-15,16,False
2018-07-22,24,False
2018-07-29,40,False
2018-08-05,64,False
2018-08-12,24,False
2018-08-19,40,False
2018-08-26,56,False
2018-09-02,40,False
2018-09-09,47,False
2018-09-16,55,False
2018-09-23,63,False
2018-09-30,31,False
2018-10-07,23,False
2018-10-14,39,False
2018-10-21,15,False
2018-10-28,23,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,23,False
2018-12-02,15,False
2018-12-09,15,False
2018-12-16,16,False
2018-12-23,27,False
2018-12-30,16,False
2019-01-06,15,False
2019-01-13,14,False
2019-01-20,28,False
2019-01-27,36,False
2019-02-03,14,False
2019-02-10,22,False
2019-02-17,22,False
2019-02-24,60,False
2019-03-03,14,False
2019-03-10,36,False
2019-03-17,38,False
2019-03-24,82,False
2019-03-31,60,False
2019-04-07,30,False
2019-04-14,81,False
2019-04-21,39,False
2019-04-28,80,False
2019-05-05,87,False
2019-05-12,45,False
2019-05-19,44,False
2019-05-26,68,False
2019-06-02,59,False
2019-06-09,38,False
2019-06-16,30,False
2019-06-23,23,False
2019-06-30,45,False
2019-07-07,44,False
2019-07-14,54,False
2019-07-21,48,False
2019-07-28,16,False
2019-08-04,55,False
2019-08-11,45,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,51,False
2019-09-08,15,False
2019-09-15,0,False
2019-09-22,14,False
2019-09-29,0,False
2019-10-06,14,False
2019-10-13,43,False
2019-10-20,21,False
2019-10-27,14,False
2019-11-03,20,False
2019-11-10,21,False
2019-11-17,28,False
2019-11-24,13,False
2019-12-01,28,False
2019-12-08,14,False
2019-12-15,42,False
2019-12-22,16,False
2019-12-29,30,False
2020-01-05,13,False
2020-01-12,19,False
2020-01-19,27,False
2020-01-26,13,False
2020-02-02,52,False
2020-02-09,13,False
2020-02-16,33,False
2020-02-23,32,False
2020-03-01,26,False
2020-03-08,36,False
2020-03-15,41,False
2020-03-22,41,False
2020-03-29,100,False
2020-04-05,84,False
2020-04-12,50,False
2020-04-19,60,False
2020-04-26,64,False
2020-05-03,36,False
2020-05-10,72,False
