date,aide pour déménagement,isPartial
2018-01-07,39,False
2018-01-14,52,False
2018-01-21,79,False
2018-01-28,44,False
2018-02-04,66,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,36,False
2018-03-04,40,False
2018-03-11,53,False
2018-03-18,27,False
2018-03-25,41,False
2018-04-01,37,False
2018-04-08,40,False
2018-04-15,48,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,54,False
2018-05-20,37,False
2018-05-27,26,False
2018-06-03,40,False
2018-06-10,43,False
2018-06-17,27,False
2018-06-24,95,False
2018-07-01,26,False
2018-07-08,83,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,59,False
2018-08-05,44,False
2018-08-12,61,False
2018-08-19,60,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,27,False
2018-09-16,82,False
2018-09-23,28,False
2018-09-30,27,False
2018-10-07,27,False
2018-10-14,41,False
2018-10-21,83,False
2018-10-28,27,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,39,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,31,False
2018-12-30,29,False
2019-01-06,27,False
2019-01-13,40,False
2019-01-20,35,False
2019-01-27,39,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,28,False
2019-02-24,36,False
2019-03-03,27,False
2019-03-10,44,False
2019-03-17,28,False
2019-03-24,68,False
2019-03-31,67,False
2019-04-07,55,False
2019-04-14,42,False
2019-04-21,54,False
2019-04-28,53,False
2019-05-05,44,False
2019-05-12,40,False
2019-05-19,39,False
2019-05-26,79,False
2019-06-02,33,False
2019-06-09,43,False
2019-06-16,27,False
2019-06-23,26,False
2019-06-30,53,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,57,False
2019-08-11,85,False
2019-08-18,42,False
2019-08-25,26,False
2019-09-01,26,False
2019-09-08,52,False
2019-09-15,51,False
2019-09-22,57,False
2019-09-29,24,False
2019-10-06,75,False
2019-10-13,100,False
2019-10-20,33,False
2019-10-27,41,False
2019-11-03,36,False
2019-11-10,24,False
2019-11-17,36,False
2019-11-24,47,False
2019-12-01,32,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,94,False
2020-01-12,23,False
2020-01-19,24,False
2020-01-26,35,False
2020-02-02,46,False
2020-02-09,58,False
2020-02-16,63,False
2020-02-23,45,False
2020-03-01,45,False
2020-03-08,44,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,20,False
2020-04-05,21,False
2020-04-12,21,False
2020-04-19,42,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,42,False
2020-05-17,0,True
