date,Wärmedämmung,isPartial
2018-01-07,57,False
2018-01-14,19,False
2018-01-21,38,False
2018-01-28,76,False
2018-02-04,19,False
2018-02-11,19,False
2018-02-18,19,False
2018-02-25,76,False
2018-03-04,57,False
2018-03-11,38,False
2018-03-18,38,False
2018-03-25,61,False
2018-04-01,42,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,41,False
2018-05-13,78,False
2018-05-20,20,False
2018-05-27,21,False
2018-06-03,59,False
2018-06-10,0,False
2018-06-17,97,False
2018-06-24,19,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,21,False
2018-07-22,41,False
2018-07-29,0,False
2018-08-05,61,False
2018-08-12,21,False
2018-08-19,20,False
2018-08-26,19,False
2018-09-02,59,False
2018-09-09,40,False
2018-09-16,0,False
2018-09-23,39,False
2018-09-30,39,False
2018-10-07,0,False
2018-10-14,39,False
2018-10-21,0,False
2018-10-28,100,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,56,False
2018-11-25,38,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,59,False
2018-12-23,45,False
2018-12-30,20,False
2019-01-06,54,False
2019-01-13,18,False
2019-01-20,36,False
2019-01-27,90,False
2019-02-03,18,False
2019-02-10,72,False
2019-02-17,54,False
2019-02-24,36,False
2019-03-03,36,False
2019-03-10,35,False
2019-03-17,19,False
2019-03-24,37,False
2019-03-31,0,False
2019-04-07,56,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,18,False
2019-05-12,37,False
2019-05-19,37,False
2019-05-26,37,False
2019-06-02,38,False
2019-06-09,19,False
2019-06-16,0,False
2019-06-23,58,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,41,False
2019-07-28,39,False
2019-08-04,40,False
2019-08-11,59,False
2019-08-18,19,False
2019-08-25,0,False
2019-09-01,72,False
2019-09-08,18,False
2019-09-15,55,False
2019-09-22,73,False
2019-09-29,52,False
2019-10-06,89,False
2019-10-13,18,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,69,False
2019-11-10,34,False
2019-11-17,70,False
2019-11-24,51,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,36,False
2020-01-05,33,False
2020-01-12,47,False
2020-01-19,0,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,0,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,30,False
2020-03-22,59,False
2020-03-29,15,False
2020-04-05,49,False
2020-04-12,0,False
2020-04-19,61,False
2020-04-26,62,False
2020-05-03,32,False
2020-05-10,31,False
2020-05-17,33,False
2020-05-24,31,False
2020-05-31,32,False
2020-06-07,48,False
2020-06-14,46,False
2020-06-21,64,False
2020-06-28,32,False
2020-07-05,33,False
