date,sposa trucco,isPartial
2018-01-07,22,False
2018-01-14,45,False
2018-01-21,56,False
2018-01-28,67,False
2018-02-04,33,False
2018-02-11,23,False
2018-02-18,80,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,60,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,72,False
2018-04-22,63,False
2018-04-29,24,False
2018-05-06,25,False
2018-05-13,48,False
2018-05-20,49,False
2018-05-27,100,False
2018-06-03,62,False
2018-06-10,45,False
2018-06-17,46,False
2018-06-24,35,False
2018-07-01,84,False
2018-07-08,60,False
2018-07-15,0,False
2018-07-22,47,False
2018-07-29,35,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,21,False
2018-08-26,34,False
2018-09-02,57,False
2018-09-09,59,False
2018-09-16,33,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,69,False
2018-11-04,47,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,39,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,69,False
2019-01-13,46,False
2019-01-20,33,False
2019-01-27,22,False
2019-02-03,44,False
2019-02-10,33,False
2019-02-17,0,False
2019-02-24,45,False
2019-03-03,24,False
2019-03-10,34,False
2019-03-17,23,False
2019-03-24,35,False
2019-03-31,67,False
2019-04-07,23,False
2019-04-14,59,False
2019-04-21,49,False
2019-04-28,34,False
2019-05-05,23,False
2019-05-12,67,False
2019-05-19,34,False
2019-05-26,21,False
2019-06-02,46,False
2019-06-09,36,False
2019-06-16,49,False
2019-06-23,47,False
2019-06-30,60,False
2019-07-07,47,False
2019-07-14,46,False
2019-07-21,36,False
2019-07-28,47,False
2019-08-04,34,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,42,False
2019-09-01,62,False
2019-09-08,87,False
2019-09-15,43,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,33,False
2019-10-13,46,False
2019-10-20,21,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,47,False
2019-12-22,50,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,32,False
2020-01-19,43,False
2020-01-26,32,False
2020-02-02,62,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,18,False
2020-04-12,38,False
2020-04-19,17,False
2020-04-26,0,True
