date,sposa trucco,isPartial
2018-01-07,46,False
2018-01-14,32,False
2018-01-21,25,False
2018-01-28,96,False
2018-02-04,38,False
2018-02-11,63,False
2018-02-18,55,False
2018-02-25,18,False
2018-03-04,47,False
2018-03-11,30,False
2018-03-18,37,False
2018-03-25,19,False
2018-04-01,66,False
2018-04-08,48,False
2018-04-15,100,False
2018-04-22,52,False
2018-04-29,44,False
2018-05-06,73,False
2018-05-13,66,False
2018-05-20,84,False
2018-05-27,55,False
2018-06-03,31,False
2018-06-10,43,False
2018-06-17,31,False
2018-06-24,45,False
2018-07-01,19,False
2018-07-08,50,False
2018-07-15,38,False
2018-07-22,39,False
2018-07-29,28,False
2018-08-05,22,False
2018-08-12,25,False
2018-08-19,16,False
2018-08-26,53,False
2018-09-02,60,False
2018-09-09,35,False
2018-09-16,35,False
2018-09-23,36,False
2018-09-30,30,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,18,False
2018-10-28,59,False
2018-11-04,45,False
2018-11-11,18,False
2018-11-18,11,False
2018-11-25,36,False
2018-12-02,12,False
2018-12-09,18,False
2018-12-16,12,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,12,False
2019-01-13,11,False
2019-01-20,40,False
2019-01-27,45,False
2019-02-03,40,False
2019-02-10,34,False
2019-02-17,23,False
2019-02-24,18,False
2019-03-03,42,False
2019-03-10,35,False
2019-03-17,0,False
2019-03-24,37,False
2019-03-31,12,False
2019-04-07,48,False
2019-04-14,12,False
2019-04-21,20,False
2019-04-28,25,False
2019-05-05,36,False
2019-05-12,41,False
2019-05-19,34,False
2019-05-26,63,False
2019-06-02,24,False
2019-06-09,42,False
2019-06-16,12,False
2019-06-23,12,False
2019-06-30,12,False
2019-07-07,24,False
2019-07-14,19,False
2019-07-21,13,False
2019-07-28,33,False
2019-08-04,15,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,29,False
2019-09-08,17,False
2019-09-15,39,False
2019-09-22,22,False
2019-09-29,11,False
2019-10-06,17,False
2019-10-13,22,False
2019-10-20,49,False
2019-10-27,83,False
2019-11-03,16,False
2019-11-10,32,False
2019-11-17,27,False
2019-11-24,11,False
2019-12-01,11,False
2019-12-08,34,False
2019-12-15,11,False
2019-12-22,14,False
2019-12-29,13,False
2020-01-05,17,False
2020-01-12,26,False
2020-01-19,37,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,21,False
2020-02-16,52,False
2020-02-23,39,False
2020-03-01,15,False
2020-03-08,10,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,10,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,10,False
2020-04-26,0,True
