date,Pvc kleben,isPartial
2018-01-07,0,False
2018-01-14,41,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,26,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,51,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,40,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,39,False
2018-05-13,50,False
2018-05-20,26,False
2018-05-27,100,False
2018-06-03,59,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,76,False
2018-07-01,25,False
2018-07-08,24,False
2018-07-15,35,False
2018-07-22,39,False
2018-07-29,27,False
2018-08-05,40,False
2018-08-12,35,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,38,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,39,False
2018-09-30,26,False
2018-10-07,39,False
2018-10-14,26,False
2018-10-21,39,False
2018-10-28,25,False
2018-11-04,37,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,37,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,59,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,35,False
2019-02-10,32,False
2019-02-17,48,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,46,False
2019-03-17,24,False
2019-03-24,49,False
2019-03-31,0,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,47,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,36,False
2019-06-09,33,False
2019-06-16,24,False
2019-06-23,37,False
2019-06-30,60,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,36,False
2019-07-28,44,False
2019-08-04,26,False
2019-08-11,76,False
2019-08-18,63,False
2019-08-25,96,False
2019-09-01,59,False
2019-09-08,48,False
2019-09-15,37,False
2019-09-22,24,False
2019-09-29,48,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,46,False
2019-11-03,33,False
2019-11-10,34,False
2019-11-17,33,False
2019-11-24,32,False
2019-12-01,56,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,43,False
2020-01-26,21,False
2020-02-02,31,False
2020-02-09,41,False
2020-02-16,21,False
2020-02-23,41,False
2020-03-01,20,False
2020-03-08,29,False
2020-03-15,39,False
2020-03-22,39,False
2020-03-29,47,False
2020-04-05,28,False
2020-04-12,46,False
2020-04-19,32,False
2020-04-26,38,False
2020-05-03,67,False
2020-05-10,39,False
