date,Spenglerei,isPartial
2018-01-07,39,False
2018-01-14,19,False
2018-01-21,40,False
2018-01-28,0,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,19,False
2018-02-25,18,False
2018-03-04,19,False
2018-03-11,39,False
2018-03-18,0,False
2018-03-25,21,False
2018-04-01,44,False
2018-04-08,22,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,23,False
2018-06-03,34,False
2018-06-10,0,False
2018-06-17,23,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,45,False
2018-08-26,22,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,45,False
2018-11-11,23,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,0,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,29,False
2019-02-10,20,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,59,False
2019-03-17,62,False
2019-03-24,20,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,22,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,22,False
2019-06-02,0,False
2019-06-09,21,False
2019-06-16,21,False
2019-06-23,0,False
2019-06-30,21,False
2019-07-07,31,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,22,False
2019-08-18,21,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,20,False
2019-09-29,58,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,41,False
2019-10-27,20,False
2019-11-03,40,False
2019-11-10,100,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,40,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,18,False
2020-01-05,18,False
2020-01-12,34,False
2020-01-19,52,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,25,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,18,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,16,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,18,False
2020-05-24,27,False
2020-05-31,0,False
2020-06-07,17,False
2020-06-14,17,False
2020-06-21,0,False
2020-06-28,17,False
2020-07-05,17,False
