date,Hochzeitsdekoration,isPartial
2018-01-07,42,False
2018-01-14,27,False
2018-01-21,68,False
2018-01-28,54,False
2018-02-04,28,False
2018-02-11,28,False
2018-02-18,84,False
2018-02-25,41,False
2018-03-04,83,False
2018-03-11,28,False
2018-03-18,99,False
2018-03-25,30,False
2018-04-01,60,False
2018-04-08,100,False
2018-04-15,15,False
2018-04-22,85,False
2018-04-29,44,False
2018-05-06,29,False
2018-05-13,56,False
2018-05-20,15,False
2018-05-27,0,False
2018-06-03,71,False
2018-06-10,82,False
2018-06-17,28,False
2018-06-24,43,False
2018-07-01,56,False
2018-07-08,83,False
2018-07-15,58,False
2018-07-22,14,False
2018-07-29,14,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,72,False
2018-08-26,29,False
2018-09-02,57,False
2018-09-09,71,False
2018-09-16,43,False
2018-09-23,29,False
2018-09-30,42,False
2018-10-07,43,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,69,False
2018-11-04,40,False
2018-11-11,27,False
2018-11-18,13,False
2018-11-25,41,False
2018-12-02,0,False
2018-12-09,41,False
2018-12-16,28,False
2018-12-23,32,False
2018-12-30,44,False
2019-01-06,52,False
2019-01-13,26,False
2019-01-20,38,False
2019-01-27,51,False
2019-02-03,65,False
2019-02-10,13,False
2019-02-17,53,False
2019-02-24,27,False
2019-03-03,53,False
2019-03-10,52,False
2019-03-17,0,False
2019-03-24,13,False
2019-03-31,67,False
2019-04-07,27,False
2019-04-14,29,False
2019-04-21,28,False
2019-04-28,53,False
2019-05-05,26,False
2019-05-12,13,False
2019-05-19,39,False
2019-05-26,14,False
2019-06-02,13,False
2019-06-09,40,False
2019-06-16,41,False
2019-06-23,41,False
2019-06-30,81,False
2019-07-07,39,False
2019-07-14,14,False
2019-07-21,0,False
2019-07-28,70,False
2019-08-04,0,False
2019-08-11,68,False
2019-08-18,27,False
2019-08-25,68,False
2019-09-01,0,False
2019-09-08,80,False
2019-09-15,39,False
2019-09-22,26,False
2019-09-29,39,False
2019-10-06,64,False
2019-10-13,26,False
2019-10-20,38,False
2019-10-27,0,False
2019-11-03,36,False
2019-11-10,25,False
2019-11-17,37,False
2019-11-24,24,False
2019-12-01,37,False
2019-12-08,12,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,26,False
2020-01-05,0,False
2020-01-12,46,False
2020-01-19,0,False
2020-01-26,35,False
2020-02-02,12,False
2020-02-09,23,False
2020-02-16,35,False
2020-02-23,35,False
2020-03-01,23,False
2020-03-08,32,False
2020-03-15,21,False
2020-03-22,32,False
2020-03-29,0,False
2020-04-05,35,False
2020-04-12,85,True
