date,abito uomo,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,80,False
2018-01-28,0,False
2018-02-04,93,False
2018-02-11,53,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,41,False
2018-04-01,56,False
2018-04-08,77,False
2018-04-15,27,False
2018-04-22,55,False
2018-04-29,62,False
2018-05-06,39,False
2018-05-13,26,False
2018-05-20,64,False
2018-05-27,51,False
2018-06-03,50,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,45,False
2018-07-01,42,False
2018-07-08,32,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,31,False
2018-08-05,49,False
2018-08-12,20,False
2018-08-19,100,False
2018-08-26,43,False
2018-09-02,52,False
2018-09-09,51,False
2018-09-16,40,False
2018-09-23,22,False
2018-09-30,24,False
2018-10-07,50,False
2018-10-14,77,False
2018-10-21,0,False
2018-10-28,26,False
2018-11-04,52,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,53,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,50,False
2019-01-27,51,False
2019-02-03,40,False
2019-02-10,54,False
2019-02-17,27,False
2019-02-24,26,False
2019-03-03,28,False
2019-03-10,81,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,54,False
2019-04-07,39,False
2019-04-14,27,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,77,False
2019-05-12,76,False
2019-05-19,51,False
2019-05-26,72,False
2019-06-02,25,False
2019-06-09,74,False
2019-06-16,24,False
2019-06-23,48,False
2019-06-30,24,False
2019-07-07,34,False
2019-07-14,89,False
2019-07-21,23,False
2019-07-28,33,False
2019-08-04,64,False
2019-08-11,20,False
2019-08-18,57,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,95,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,46,False
2019-10-06,35,False
2019-10-13,24,False
2019-10-20,57,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,48,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,84,False
2020-01-19,42,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,86,False
2020-02-16,65,False
2020-02-23,0,False
2020-03-01,59,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,28,False
2020-04-05,39,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,0,True
