date,abito uomo,isPartial
2018-01-07,24,False
2018-01-14,12,False
2018-01-21,24,False
2018-01-28,18,False
2018-02-04,40,False
2018-02-11,35,False
2018-02-18,22,False
2018-02-25,16,False
2018-03-04,23,False
2018-03-11,29,False
2018-03-18,17,False
2018-03-25,18,False
2018-04-01,43,False
2018-04-08,18,False
2018-04-15,30,False
2018-04-22,13,False
2018-04-29,42,False
2018-05-06,60,False
2018-05-13,36,False
2018-05-20,36,False
2018-05-27,49,False
2018-06-03,31,False
2018-06-10,56,False
2018-06-17,11,False
2018-06-24,45,False
2018-07-01,29,False
2018-07-08,40,False
2018-07-15,69,False
2018-07-22,45,False
2018-07-29,28,False
2018-08-05,33,False
2018-08-12,20,False
2018-08-19,30,False
2018-08-26,21,False
2018-09-02,33,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,17,False
2018-09-30,23,False
2018-10-07,12,False
2018-10-14,12,False
2018-10-21,18,False
2018-10-28,36,False
2018-11-04,23,False
2018-11-11,12,False
2018-11-18,18,False
2018-11-25,12,False
2018-12-02,50,False
2018-12-09,18,False
2018-12-16,37,False
2018-12-23,13,False
2018-12-30,29,False
2019-01-06,23,False
2019-01-13,34,False
2019-01-20,21,False
2019-01-27,32,False
2019-02-03,26,False
2019-02-10,53,False
2019-02-17,44,False
2019-02-24,43,False
2019-03-03,40,False
2019-03-10,22,False
2019-03-17,57,False
2019-03-24,33,False
2019-03-31,55,False
2019-04-07,21,False
2019-04-14,51,False
2019-04-21,40,False
2019-04-28,37,False
2019-05-05,27,False
2019-05-12,52,False
2019-05-19,53,False
2019-05-26,30,False
2019-06-02,33,False
2019-06-09,34,False
2019-06-16,45,False
2019-06-23,17,False
2019-06-30,100,False
2019-07-07,15,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,26,False
2019-08-25,21,False
2019-09-01,50,False
2019-09-08,25,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,20,False
2019-10-06,21,False
2019-10-13,16,False
2019-10-20,15,False
2019-10-27,21,False
2019-11-03,10,False
2019-11-10,15,False
2019-11-17,36,False
2019-11-24,15,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,36,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,29,False
2020-01-19,24,False
2020-01-26,29,False
2020-02-02,23,False
2020-02-09,19,False
2020-02-16,24,False
2020-02-23,37,False
2020-03-01,23,False
2020-03-08,8,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,16,False
2020-04-05,17,False
2020-04-12,8,False
2020-04-19,0,False
2020-04-26,0,True
