date,abito uomo,isPartial
2018-01-07,43,False
2018-01-14,64,False
2018-01-21,32,False
2018-01-28,42,False
2018-02-04,21,False
2018-02-11,0,False
2018-02-18,22,False
2018-02-25,45,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,34,False
2018-03-25,37,False
2018-04-01,12,False
2018-04-08,23,False
2018-04-15,46,False
2018-04-22,24,False
2018-04-29,46,False
2018-05-06,47,False
2018-05-13,91,False
2018-05-20,35,False
2018-05-27,59,False
2018-06-03,24,False
2018-06-10,75,False
2018-06-17,56,False
2018-06-24,0,False
2018-07-01,23,False
2018-07-08,34,False
2018-07-15,70,False
2018-07-22,45,False
2018-07-29,54,False
2018-08-05,21,False
2018-08-12,11,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,65,False
2018-09-09,22,False
2018-09-16,21,False
2018-09-23,32,False
2018-09-30,11,False
2018-10-07,11,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,11,False
2018-11-11,23,False
2018-11-18,23,False
2018-11-25,11,False
2018-12-02,37,False
2018-12-09,12,False
2018-12-16,25,False
2018-12-23,26,False
2018-12-30,11,False
2019-01-06,77,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,32,False
2019-02-03,52,False
2019-02-10,11,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,45,False
2019-03-10,11,False
2019-03-17,87,False
2019-03-24,22,False
2019-03-31,43,False
2019-04-07,11,False
2019-04-14,22,False
2019-04-21,23,False
2019-04-28,33,False
2019-05-05,11,False
2019-05-12,31,False
2019-05-19,11,False
2019-05-26,10,False
2019-06-02,65,False
2019-06-09,56,False
2019-06-16,81,False
2019-06-23,67,False
2019-06-30,91,False
2019-07-07,100,False
2019-07-14,33,False
2019-07-21,45,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,11,False
2019-08-18,20,False
2019-08-25,40,False
2019-09-01,10,False
2019-09-08,73,False
2019-09-15,31,False
2019-09-22,10,False
2019-09-29,11,False
2019-10-06,31,False
2019-10-13,11,False
2019-10-20,10,False
2019-10-27,11,False
2019-11-03,20,False
2019-11-10,11,False
2019-11-17,21,False
2019-11-24,42,False
2019-12-01,11,False
2019-12-08,22,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,11,False
2020-01-12,31,False
2020-01-19,71,False
2020-01-26,20,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,72,False
2020-02-23,49,False
2020-03-01,19,False
2020-03-08,9,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,8,False
2020-04-05,0,False
2020-04-12,9,False
2020-04-19,17,False
2020-04-26,0,True
