date,abito uomo,isPartial
2018-01-07,46,False
2018-01-14,31,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,46,False
2018-02-11,50,False
2018-02-18,31,False
2018-02-25,15,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,16,False
2018-03-25,28,False
2018-04-01,41,False
2018-04-08,88,False
2018-04-15,49,False
2018-04-22,39,False
2018-04-29,60,False
2018-05-06,84,False
2018-05-13,61,False
2018-05-20,81,False
2018-05-27,45,False
2018-06-03,17,False
2018-06-10,25,False
2018-06-17,42,False
2018-06-24,38,False
2018-07-01,48,False
2018-07-08,32,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,78,False
2018-08-05,41,False
2018-08-12,13,False
2018-08-19,38,False
2018-08-26,70,False
2018-09-02,60,False
2018-09-09,43,False
2018-09-16,52,False
2018-09-23,63,False
2018-09-30,26,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,54,False
2018-10-28,11,False
2018-11-04,21,False
2018-11-11,17,False
2018-11-18,28,False
2018-11-25,22,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,17,False
2018-12-23,30,False
2018-12-30,28,False
2019-01-06,27,False
2019-01-13,42,False
2019-01-20,30,False
2019-01-27,51,False
2019-02-03,46,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,22,False
2019-03-10,46,False
2019-03-17,80,False
2019-03-24,38,False
2019-03-31,26,False
2019-04-07,85,False
2019-04-14,39,False
2019-04-21,61,False
2019-04-28,52,False
2019-05-05,78,False
2019-05-12,73,False
2019-05-19,41,False
2019-05-26,44,False
2019-06-02,59,False
2019-06-09,73,False
2019-06-16,55,False
2019-06-23,40,False
2019-06-30,46,False
2019-07-07,100,False
2019-07-14,84,False
2019-07-21,52,False
2019-07-28,29,False
2019-08-04,48,False
2019-08-11,13,False
2019-08-18,30,False
2019-08-25,11,False
2019-09-01,65,False
2019-09-08,31,False
2019-09-15,49,False
2019-09-22,34,False
2019-09-29,29,False
2019-10-06,41,False
2019-10-13,61,False
2019-10-20,35,False
2019-10-27,19,False
2019-11-03,23,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,34,False
2019-12-01,36,False
2019-12-08,25,False
2019-12-15,30,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,25,False
2020-01-12,38,False
2020-01-19,34,False
2020-01-26,38,False
2020-02-02,32,False
2020-02-09,34,False
2020-02-16,68,False
2020-02-23,18,False
2020-03-01,35,False
2020-03-08,13,False
2020-03-15,8,False
2020-03-22,0,False
2020-03-29,8,False
2020-04-05,13,False
2020-04-12,8,False
2020-04-19,11,False
2020-04-26,27,True
