date,Bufete Abogados,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,60,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,31,False
2018-02-18,21,False
2018-02-25,100,False
2018-03-04,30,False
2018-03-11,49,False
2018-03-18,21,False
2018-03-25,27,False
2018-04-01,40,False
2018-04-08,0,False
2018-04-15,20,False
2018-04-22,30,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,62,False
2018-05-20,40,False
2018-05-27,29,False
2018-06-03,30,False
2018-06-10,39,False
2018-06-17,53,False
2018-06-24,43,False
2018-07-01,44,False
2018-07-08,45,False
2018-07-15,24,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,28,False
2018-08-12,44,False
2018-08-19,27,False
2018-08-26,73,False
2018-09-02,21,False
2018-09-09,62,False
2018-09-16,20,False
2018-09-23,49,False
2018-09-30,49,False
2018-10-07,41,False
2018-10-14,19,False
2018-10-21,58,False
2018-10-28,21,False
2018-11-04,17,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,71,False
2018-12-02,39,False
2018-12-09,29,False
2018-12-16,20,False
2018-12-23,49,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,38,False
2019-01-20,36,False
2019-01-27,34,False
2019-02-03,29,False
2019-02-10,28,False
2019-02-17,48,False
2019-02-24,60,False
2019-03-03,20,False
2019-03-10,69,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,58,False
2019-04-28,40,False
2019-05-05,26,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,36,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,20,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,39,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,43,False
2019-08-18,27,False
2019-08-25,23,False
2019-09-01,18,False
2019-09-08,19,False
2019-09-15,35,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,71,False
2019-10-13,17,False
2019-10-20,53,False
2019-10-27,36,False
2019-11-03,42,False
2019-11-10,34,False
2019-11-17,26,False
2019-11-24,16,False
2019-12-01,45,False
2019-12-08,28,False
2019-12-15,52,False
2019-12-22,43,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,16,False
2020-01-19,41,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,25,False
2020-02-16,50,False
2020-02-23,33,False
2020-03-01,40,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,32,False
2020-03-29,31,False
2020-04-05,17,False
2020-04-12,28,True
