date,Bufete Abogados,isPartial
2018-01-07,26,False
2018-01-14,50,False
2018-01-21,37,False
2018-01-28,25,False
2018-02-04,37,False
2018-02-11,25,False
2018-02-18,75,False
2018-02-25,24,False
2018-03-04,37,False
2018-03-11,49,False
2018-03-18,25,False
2018-03-25,55,False
2018-04-01,38,False
2018-04-08,36,False
2018-04-15,37,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,38,False
2018-05-27,24,False
2018-06-03,35,False
2018-06-10,47,False
2018-06-17,64,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,39,False
2018-08-05,40,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,38,False
2018-09-02,74,False
2018-09-09,25,False
2018-09-16,48,False
2018-09-23,24,False
2018-09-30,25,False
2018-10-07,0,False
2018-10-14,72,False
2018-10-21,0,False
2018-10-28,25,False
2018-11-04,61,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,37,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,64,False
2018-12-23,31,False
2018-12-30,57,False
2019-01-06,100,False
2019-01-13,24,False
2019-01-20,46,False
2019-01-27,48,False
2019-02-03,48,False
2019-02-10,49,False
2019-02-17,37,False
2019-02-24,48,False
2019-03-03,37,False
2019-03-10,36,False
2019-03-17,49,False
2019-03-24,49,False
2019-03-31,47,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,24,False
2019-04-28,46,False
2019-05-05,0,False
2019-05-12,57,False
2019-05-19,23,False
2019-05-26,34,False
2019-06-02,69,False
2019-06-09,23,False
2019-06-16,24,False
2019-06-23,25,False
2019-06-30,60,False
2019-07-07,47,False
2019-07-14,24,False
2019-07-21,37,False
2019-07-28,51,False
2019-08-04,26,False
2019-08-11,26,False
2019-08-18,39,False
2019-08-25,48,False
2019-09-01,23,False
2019-09-08,34,False
2019-09-15,33,False
2019-09-22,22,False
2019-09-29,33,False
2019-10-06,87,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,34,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,44,False
2019-11-24,32,False
2019-12-01,34,False
2019-12-08,45,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,42,False
2020-01-19,41,False
2020-01-26,32,False
2020-02-02,43,False
2020-02-09,21,False
2020-02-16,43,False
2020-02-23,62,False
2020-03-01,20,False
2020-03-08,41,False
2020-03-15,21,False
2020-03-22,39,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,69,True
