date,Bufete Abogados,isPartial
2018-01-07,100,False
2018-01-14,46,False
2018-01-21,46,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,47,False
2018-02-18,23,False
2018-02-25,32,False
2018-03-04,0,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,50,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,93,False
2018-04-22,78,False
2018-04-29,35,False
2018-05-06,22,False
2018-05-13,23,False
2018-05-20,45,False
2018-05-27,47,False
2018-06-03,22,False
2018-06-10,22,False
2018-06-17,24,False
2018-06-24,23,False
2018-07-01,47,False
2018-07-08,23,False
2018-07-15,59,False
2018-07-22,23,False
2018-07-29,68,False
2018-08-05,67,False
2018-08-12,22,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,33,False
2018-09-09,44,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,45,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,46,False
2018-11-04,0,False
2018-11-11,45,False
2018-11-18,31,False
2018-11-25,79,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,47,False
2018-12-23,26,False
2018-12-30,26,False
2019-01-06,35,False
2019-01-13,44,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,34,False
2019-02-10,33,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,47,False
2019-03-17,23,False
2019-03-24,67,False
2019-03-31,43,False
2019-04-07,45,False
2019-04-14,22,False
2019-04-21,21,False
2019-04-28,56,False
2019-05-05,58,False
2019-05-12,23,False
2019-05-19,45,False
2019-05-26,44,False
2019-06-02,44,False
2019-06-09,44,False
2019-06-16,68,False
2019-06-23,56,False
2019-06-30,45,False
2019-07-07,44,False
2019-07-14,68,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,44,False
2019-08-11,33,False
2019-08-18,0,False
2019-08-25,21,False
2019-09-01,0,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,31,False
2019-10-13,0,False
2019-10-20,52,False
2019-10-27,0,False
2019-11-03,60,False
2019-11-10,79,False
2019-11-17,19,False
2019-11-24,39,False
2019-12-01,41,False
2019-12-08,21,False
2019-12-15,38,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,56,False
2020-01-19,54,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,39,False
2020-02-16,38,False
2020-02-23,58,False
2020-03-01,38,False
2020-03-08,55,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,32,False
2020-04-05,35,False
2020-04-12,42,True
