date,plaque solaire,isPartial
2018-01-07,41,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,46,False
2018-02-04,36,False
2018-02-11,28,False
2018-02-18,38,False
2018-02-25,93,False
2018-03-04,28,False
2018-03-11,56,False
2018-03-18,56,False
2018-03-25,28,False
2018-04-01,28,False
2018-04-08,98,False
2018-04-15,100,False
2018-04-22,43,False
2018-04-29,57,False
2018-05-06,0,False
2018-05-13,28,False
2018-05-20,29,False
2018-05-27,46,False
2018-06-03,28,False
2018-06-10,54,False
2018-06-17,42,False
2018-06-24,85,False
2018-07-01,55,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,45,False
2018-07-29,30,False
2018-08-05,31,False
2018-08-12,47,False
2018-08-19,31,False
2018-08-26,86,False
2018-09-02,38,False
2018-09-09,28,False
2018-09-16,56,False
2018-09-23,29,False
2018-09-30,28,False
2018-10-07,71,False
2018-10-14,29,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,56,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,42,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,38,False
2018-12-23,32,False
2018-12-30,46,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,36,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,42,False
2019-03-03,55,False
2019-03-10,27,False
2019-03-17,43,False
2019-03-24,57,False
2019-03-31,37,False
2019-04-07,57,False
2019-04-14,29,False
2019-04-21,28,False
2019-04-28,83,False
2019-05-05,41,False
2019-05-12,27,False
2019-05-19,45,False
2019-05-26,42,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,55,False
2019-06-23,41,False
2019-06-30,27,False
2019-07-07,27,False
2019-07-14,47,False
2019-07-21,29,False
2019-07-28,59,False
2019-08-04,39,False
2019-08-11,30,False
2019-08-18,29,False
2019-08-25,41,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,40,False
2019-09-22,38,False
2019-09-29,38,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,64,False
2019-11-03,50,False
2019-11-10,63,False
2019-11-17,67,False
2019-11-24,74,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,24,False
2020-01-19,33,False
2020-01-26,71,False
2020-02-02,48,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,32,False
2020-04-05,57,False
2020-04-12,33,False
2020-04-19,43,False
2020-04-26,34,False
2020-05-03,41,False
2020-05-10,58,False
2020-05-17,54,False
2020-05-24,45,False
2020-05-31,64,False
2020-06-07,43,False
2020-06-14,23,False
2020-06-21,84,True
