date,moustiquaire lit,isPartial
2018-01-07,8,False
2018-01-14,32,False
2018-01-21,12,False
2018-01-28,13,False
2018-02-04,8,False
2018-02-11,12,False
2018-02-18,8,False
2018-02-25,0,False
2018-03-04,12,False
2018-03-11,24,False
2018-03-18,11,False
2018-03-25,16,False
2018-04-01,21,False
2018-04-08,19,False
2018-04-15,26,False
2018-04-22,14,False
2018-04-29,31,False
2018-05-06,15,False
2018-05-13,16,False
2018-05-20,16,False
2018-05-27,36,False
2018-06-03,26,False
2018-06-10,23,False
2018-06-17,31,False
2018-06-24,37,False
2018-07-01,52,False
2018-07-08,50,False
2018-07-15,39,False
2018-07-22,55,False
2018-07-29,54,False
2018-08-05,40,False
2018-08-12,31,False
2018-08-19,16,False
2018-08-26,17,False
2018-09-02,12,False
2018-09-09,16,False
2018-09-16,16,False
2018-09-23,8,False
2018-09-30,8,False
2018-10-07,16,False
2018-10-14,18,False
2018-10-21,12,False
2018-10-28,8,False
2018-11-04,16,False
2018-11-11,15,False
2018-11-18,0,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,32,False
2018-12-16,8,False
2018-12-23,10,False
2018-12-30,15,False
2019-01-06,16,False
2019-01-13,16,False
2019-01-20,19,False
2019-01-27,8,False
2019-02-03,17,False
2019-02-10,0,False
2019-02-17,16,False
2019-02-24,14,False
2019-03-03,20,False
2019-03-10,8,False
2019-03-17,14,False
2019-03-24,17,False
2019-03-31,17,False
2019-04-07,25,False
2019-04-14,11,False
2019-04-21,18,False
2019-04-28,24,False
2019-05-05,35,False
2019-05-12,20,False
2019-05-19,19,False
2019-05-26,44,False
2019-06-02,51,False
2019-06-09,20,False
2019-06-16,42,False
2019-06-23,79,False
2019-06-30,42,False
2019-07-07,40,False
2019-07-14,40,False
2019-07-21,36,False
2019-07-28,34,False
2019-08-04,43,False
2019-08-11,41,False
2019-08-18,32,False
2019-08-25,15,False
2019-09-01,25,False
2019-09-08,16,False
2019-09-15,11,False
2019-09-22,11,False
2019-09-29,20,False
2019-10-06,12,False
2019-10-13,16,False
2019-10-20,8,False
2019-10-27,8,False
2019-11-03,16,False
2019-11-10,8,False
2019-11-17,12,False
2019-11-24,16,False
2019-12-01,11,False
2019-12-08,15,False
2019-12-15,24,False
2019-12-22,10,False
2019-12-29,14,False
2020-01-05,15,False
2020-01-12,13,False
2020-01-19,16,False
2020-01-26,18,False
2020-02-02,10,False
2020-02-09,16,False
2020-02-16,13,False
2020-02-23,15,False
2020-03-01,11,False
2020-03-08,25,False
2020-03-15,8,False
2020-03-22,12,False
2020-03-29,8,False
2020-04-05,21,False
2020-04-12,22,False
2020-04-19,21,False
2020-04-26,15,False
2020-05-03,34,False
2020-05-10,18,False
2020-05-17,19,False
2020-05-24,34,False
2020-05-31,39,False
2020-06-07,15,False
2020-06-14,35,False
2020-06-21,100,False
2020-06-28,35,False
2020-07-05,48,False
2020-07-12,63,False
2020-07-19,47,False
