date,moustiquaire lit,isPartial
2018-01-07,0,False
2018-01-14,8,False
2018-01-21,8,False
2018-01-28,0,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,0,False
2018-03-11,9,False
2018-03-18,9,False
2018-03-25,0,False
2018-04-01,9,False
2018-04-08,0,False
2018-04-15,9,False
2018-04-22,8,False
2018-04-29,8,False
2018-05-06,17,False
2018-05-13,9,False
2018-05-20,26,False
2018-05-27,13,False
2018-06-03,8,False
2018-06-10,0,False
2018-06-17,13,False
2018-06-24,20,False
2018-07-01,24,False
2018-07-08,8,False
2018-07-15,17,False
2018-07-22,21,False
2018-07-29,29,False
2018-08-05,21,False
2018-08-12,16,False
2018-08-19,8,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,8,False
2018-11-11,9,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,8,False
2018-12-09,9,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,9,False
2019-01-06,8,False
2019-01-13,0,False
2019-01-20,8,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,9,False
2019-02-17,9,False
2019-02-24,0,False
2019-03-03,9,False
2019-03-10,0,False
2019-03-17,9,False
2019-03-24,0,False
2019-03-31,15,False
2019-04-07,0,False
2019-04-14,11,False
2019-04-21,8,False
2019-04-28,0,False
2019-05-05,11,False
2019-05-12,7,False
2019-05-19,14,False
2019-05-26,17,False
2019-06-02,13,False
2019-06-09,10,False
2019-06-16,7,False
2019-06-23,16,False
2019-06-30,25,False
2019-07-07,27,False
2019-07-14,27,False
2019-07-21,11,False
2019-07-28,7,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,10,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,7,False
2019-09-22,10,False
2019-09-29,6,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,7,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,7,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,7,False
2020-01-12,13,False
2020-01-19,6,False
2020-01-26,6,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,7,False
2020-02-23,6,False
2020-03-01,6,False
2020-03-08,6,False
2020-03-15,6,False
2020-03-22,6,False
2020-03-29,6,False
2020-04-05,14,False
2020-04-12,10,False
2020-04-19,11,False
2020-04-26,13,False
2020-05-03,24,False
2020-05-10,12,False
2020-05-17,21,False
2020-05-24,28,False
2020-05-31,21,False
2020-06-07,11,False
2020-06-14,6,False
2020-06-21,100,True
