date,moustiquaire lit,isPartial
2018-01-07,21,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,20,False
2018-02-11,20,False
2018-02-18,21,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,23,False
2018-04-22,29,False
2018-04-29,32,False
2018-05-06,45,False
2018-05-13,21,False
2018-05-20,29,False
2018-05-27,21,False
2018-06-03,28,False
2018-06-10,41,False
2018-06-17,65,False
2018-06-24,75,False
2018-07-01,70,False
2018-07-08,65,False
2018-07-15,45,False
2018-07-22,75,False
2018-07-29,100,False
2018-08-05,47,False
2018-08-12,24,False
2018-08-19,34,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,22,False
2018-09-16,22,False
2018-09-23,22,False
2018-09-30,0,False
2018-10-07,21,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,0,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,0,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,20,False
2019-01-20,20,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,61,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,21,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,20,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,19,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,19,False
2019-05-26,21,False
2019-06-02,46,False
2019-06-09,56,False
2019-06-16,50,False
2019-06-23,40,False
2019-06-30,89,False
2019-07-07,64,False
2019-07-14,33,False
2019-07-21,50,False
2019-07-28,31,False
2019-08-04,21,False
2019-08-11,33,False
2019-08-18,22,False
2019-08-25,21,False
2019-09-01,0,False
2019-09-08,19,False
2019-09-15,47,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,38,False
2019-10-13,19,False
2019-10-20,38,False
2019-10-27,18,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,17,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,34,False
2020-01-19,0,False
2020-01-26,17,False
2020-02-02,26,False
2020-02-09,17,False
2020-02-16,25,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,31,False
2020-04-12,31,False
2020-04-19,16,False
2020-04-26,30,False
2020-05-03,65,False
2020-05-10,41,False
2020-05-17,33,False
2020-05-24,76,False
2020-05-31,63,False
2020-06-07,42,False
2020-06-14,41,False
2020-06-21,98,False
2020-06-28,39,False
2020-07-05,64,False
2020-07-12,24,False
2020-07-19,65,False
