date,sarto,isPartial
2018-01-07,80,False
2018-01-14,30,False
2018-01-21,19,False
2018-01-28,39,False
2018-02-04,56,False
2018-02-11,40,False
2018-02-18,20,False
2018-02-25,48,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,41,False
2018-03-25,21,False
2018-04-01,65,False
2018-04-08,20,False
2018-04-15,43,False
2018-04-22,43,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,61,False
2018-05-20,52,False
2018-05-27,51,False
2018-06-03,20,False
2018-06-10,30,False
2018-06-17,44,False
2018-06-24,23,False
2018-07-01,44,False
2018-07-08,44,False
2018-07-15,23,False
2018-07-22,47,False
2018-07-29,25,False
2018-08-05,26,False
2018-08-12,30,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,45,False
2018-09-09,44,False
2018-09-16,21,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,44,False
2018-10-14,66,False
2018-10-21,22,False
2018-10-28,21,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,41,False
2018-12-09,31,False
2018-12-16,22,False
2018-12-23,49,False
2018-12-30,56,False
2019-01-06,70,False
2019-01-13,50,False
2019-01-20,47,False
2019-01-27,19,False
2019-02-03,65,False
2019-02-10,38,False
2019-02-17,77,False
2019-02-24,50,False
2019-03-03,20,False
2019-03-10,30,False
2019-03-17,30,False
2019-03-24,39,False
2019-03-31,96,False
2019-04-07,48,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,30,False
2019-05-12,58,False
2019-05-19,19,False
2019-05-26,0,False
2019-06-02,38,False
2019-06-09,47,False
2019-06-16,20,False
2019-06-23,30,False
2019-06-30,20,False
2019-07-07,50,False
2019-07-14,61,False
2019-07-21,42,False
2019-07-28,22,False
2019-08-04,46,False
2019-08-11,38,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,74,False
2019-09-08,19,False
2019-09-15,27,False
2019-09-22,56,False
2019-09-29,19,False
2019-10-06,48,False
2019-10-13,56,False
2019-10-20,44,False
2019-10-27,27,False
2019-11-03,45,False
2019-11-10,18,False
2019-11-17,17,False
2019-11-24,35,False
2019-12-01,27,False
2019-12-08,65,False
2019-12-15,36,False
2019-12-22,62,False
2019-12-29,20,False
2020-01-05,35,False
2020-01-12,81,False
2020-01-19,100,False
2020-01-26,25,False
2020-02-02,16,False
2020-02-09,34,False
2020-02-16,33,False
2020-02-23,16,False
2020-03-01,23,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,16,False
2020-04-19,59,False
2020-04-26,25,True
