date,Wechselrichter,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,38,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,25,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,79,False
2018-04-01,27,False
2018-04-08,27,False
2018-04-15,53,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,53,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,48,False
2018-06-17,37,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,50,False
2018-07-15,52,False
2018-07-22,0,False
2018-07-29,41,False
2018-08-05,26,False
2018-08-12,83,False
2018-08-19,52,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,78,False
2018-09-16,51,False
2018-09-23,51,False
2018-09-30,26,False
2018-10-07,51,False
2018-10-14,26,False
2018-10-21,51,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,51,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,25,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,47,False
2019-02-03,23,False
2019-02-10,35,False
2019-02-17,48,False
2019-02-24,23,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,100,False
2019-04-28,71,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,49,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,36,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,25,False
2019-08-18,24,False
2019-08-25,49,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,38,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,48,False
2019-10-13,36,False
2019-10-20,0,False
2019-10-27,47,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,47,False
2019-12-15,36,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,43,False
2020-01-19,0,False
2020-01-26,22,False
2020-02-02,84,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,43,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,21,False
2020-04-12,39,False
2020-04-19,57,False
2020-04-26,86,False
2020-05-03,20,False
2020-05-10,58,False
2020-05-17,32,False
2020-05-24,29,False
2020-05-31,40,False
2020-06-07,31,False
2020-06-14,30,False
2020-06-21,53,False
2020-06-28,21,False
2020-07-05,65,False
