date,acconciature per matrimonio,isPartial
2018-01-07,0,False
2018-01-14,19,False
2018-01-21,12,False
2018-01-28,12,False
2018-02-04,12,False
2018-02-11,24,False
2018-02-18,12,False
2018-02-25,35,False
2018-03-04,30,False
2018-03-11,12,False
2018-03-18,12,False
2018-03-25,25,False
2018-04-01,26,False
2018-04-08,61,False
2018-04-15,31,False
2018-04-22,32,False
2018-04-29,37,False
2018-05-06,12,False
2018-05-13,80,False
2018-05-20,55,False
2018-05-27,56,False
2018-06-03,31,False
2018-06-10,65,False
2018-06-17,68,False
2018-06-24,43,False
2018-07-01,31,False
2018-07-08,49,False
2018-07-15,50,False
2018-07-22,44,False
2018-07-29,57,False
2018-08-05,59,False
2018-08-12,21,False
2018-08-19,54,False
2018-08-26,63,False
2018-09-02,48,False
2018-09-09,48,False
2018-09-16,41,False
2018-09-23,30,False
2018-09-30,36,False
2018-10-07,12,False
2018-10-14,31,False
2018-10-21,18,False
2018-10-28,0,False
2018-11-04,12,False
2018-11-11,0,False
2018-11-18,12,False
2018-11-25,12,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,15,False
2018-12-30,13,False
2019-01-06,25,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,23,False
2019-02-03,12,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,47,False
2019-03-03,12,False
2019-03-10,12,False
2019-03-17,12,False
2019-03-24,12,False
2019-03-31,36,False
2019-04-07,30,False
2019-04-14,19,False
2019-04-21,13,False
2019-04-28,24,False
2019-05-05,58,False
2019-05-12,41,False
2019-05-19,29,False
2019-05-26,45,False
2019-06-02,42,False
2019-06-09,36,False
2019-06-16,98,False
2019-06-23,56,False
2019-06-30,56,False
2019-07-07,36,False
2019-07-14,55,False
2019-07-21,44,False
2019-07-28,50,False
2019-08-04,52,False
2019-08-11,21,False
2019-08-18,45,False
2019-08-25,100,False
2019-09-01,72,False
2019-09-08,35,False
2019-09-15,28,False
2019-09-22,11,False
2019-09-29,45,False
2019-10-06,35,False
2019-10-13,11,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,16,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,9,False
2020-04-05,0,False
2020-04-12,10,False
2020-04-19,0,False
2020-04-26,0,True
