date,Dachabdichtung,isPartial
2018-01-07,32,False
2018-01-14,31,False
2018-01-21,32,False
2018-01-28,0,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,0,False
2018-03-11,48,False
2018-03-18,33,False
2018-03-25,69,False
2018-04-01,71,False
2018-04-08,34,False
2018-04-15,51,False
2018-04-22,83,False
2018-04-29,69,False
2018-05-06,35,False
2018-05-13,55,False
2018-05-20,36,False
2018-05-27,54,False
2018-06-03,0,False
2018-06-10,64,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,82,False
2018-07-15,33,False
2018-07-22,33,False
2018-07-29,0,False
2018-08-05,53,False
2018-08-12,37,False
2018-08-19,74,False
2018-08-26,36,False
2018-09-02,34,False
2018-09-09,100,False
2018-09-16,67,False
2018-09-23,50,False
2018-09-30,34,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,32,False
2018-11-11,32,False
2018-11-18,30,False
2018-11-25,0,False
2018-12-02,47,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,40,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,31,False
2019-03-10,45,False
2019-03-17,93,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,49,False
2019-04-28,41,False
2019-05-05,74,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,47,False
2019-06-09,33,False
2019-06-16,0,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,34,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,34,False
2019-09-01,32,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,58,False
2019-10-27,87,False
2019-11-03,28,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,29,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,46,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,0,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,49,False
2020-04-05,27,False
2020-04-12,43,False
2020-04-19,33,False
2020-04-26,24,False
2020-05-03,24,False
2020-05-10,40,False
