date,Cours de guitare,isPartial
2018-01-07,86,False
2018-01-14,42,False
2018-01-21,44,False
2018-01-28,0,False
2018-02-04,42,False
2018-02-11,86,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,42,False
2018-03-11,44,False
2018-03-18,0,False
2018-03-25,43,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,47,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,44,False
2018-05-13,43,False
2018-05-20,46,False
2018-05-27,45,False
2018-06-03,45,False
2018-06-10,0,False
2018-06-17,51,False
2018-06-24,51,False
2018-07-01,48,False
2018-07-08,0,False
2018-07-15,50,False
2018-07-22,98,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,48,False
2018-08-19,0,False
2018-08-26,73,False
2018-09-02,100,False
2018-09-09,100,False
2018-09-16,50,False
2018-09-23,51,False
2018-09-30,0,False
2018-10-07,51,False
2018-10-14,51,False
2018-10-21,51,False
2018-10-28,49,False
2018-11-04,48,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,48,False
2018-12-02,0,False
2018-12-09,49,False
2018-12-16,100,False
2018-12-23,55,False
2018-12-30,52,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,47,False
2019-01-27,0,False
2019-02-03,48,False
2019-02-10,49,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,48,False
2019-03-10,0,False
2019-03-17,50,False
2019-03-24,50,False
2019-03-31,48,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,47,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,46,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,46,False
2019-07-14,0,False
2019-07-21,45,False
2019-07-28,0,False
2019-08-04,44,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,65,False
2019-09-01,37,False
2019-09-08,56,False
2019-09-15,45,False
2019-09-22,44,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,43,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,85,False
2019-11-10,42,False
2019-11-17,43,False
2019-11-24,83,False
2019-12-01,44,False
2019-12-08,43,False
2019-12-15,44,False
2019-12-22,95,False
2019-12-29,0,False
2020-01-05,42,False
2020-01-12,41,False
2020-01-19,43,False
2020-01-26,42,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,62,False
2020-02-23,42,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,35,False
2020-03-29,35,False
2020-04-05,34,False
2020-04-12,35,False
2020-04-19,0,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,0,False
2020-05-17,0,True
