date,Insektenschutz,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,19,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,51,False
2018-04-08,51,False
2018-04-15,51,False
2018-04-22,69,False
2018-04-29,51,False
2018-05-06,40,False
2018-05-13,19,False
2018-05-20,80,False
2018-05-27,20,False
2018-06-03,58,False
2018-06-10,0,False
2018-06-17,57,False
2018-06-24,28,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,30,False
2018-07-22,78,False
2018-07-29,51,False
2018-08-05,77,False
2018-08-12,60,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,74,False
2018-09-09,48,False
2018-09-16,0,False
2018-09-23,37,False
2018-09-30,19,False
2018-10-07,0,False
2018-10-14,19,False
2018-10-21,19,False
2018-10-28,19,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,18,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,16,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,17,False
2019-02-17,17,False
2019-02-24,26,False
2019-03-03,0,False
2019-03-10,17,False
2019-03-17,44,False
2019-03-24,18,False
2019-03-31,0,False
2019-04-07,18,False
2019-04-14,58,False
2019-04-21,64,False
2019-04-28,26,False
2019-05-05,17,False
2019-05-12,17,False
2019-05-19,17,False
2019-05-26,25,False
2019-06-02,88,False
2019-06-09,100,False
2019-06-16,80,False
2019-06-23,35,False
2019-06-30,54,False
2019-07-07,34,False
2019-07-14,45,False
2019-07-21,46,False
2019-07-28,71,False
2019-08-04,27,False
2019-08-11,35,False
2019-08-18,17,False
2019-08-25,41,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,32,False
2019-10-06,0,False
2019-10-13,16,False
2019-10-20,32,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,14,False
2020-01-12,0,False
2020-01-19,15,False
2020-01-26,15,False
2020-02-02,0,False
2020-02-09,15,False
2020-02-16,30,False
2020-02-23,0,False
2020-03-01,15,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,25,False
2020-03-29,19,False
2020-04-05,49,False
2020-04-12,26,False
2020-04-19,78,False
2020-04-26,33,False
2020-05-03,14,False
2020-05-10,60,False
2020-05-17,58,False
2020-05-24,27,False
2020-05-31,41,False
2020-06-07,41,False
2020-06-14,27,False
2020-06-21,22,False
2020-06-28,29,False
2020-07-05,39,False
