date,Insektenschutz,isPartial
2018-01-07,0,False
2018-01-14,4,False
2018-01-21,12,False
2018-01-28,12,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,4,False
2018-02-25,4,False
2018-03-04,27,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,13,False
2018-04-01,30,False
2018-04-08,21,False
2018-04-15,64,False
2018-04-22,74,False
2018-04-29,52,False
2018-05-06,47,False
2018-05-13,28,False
2018-05-20,34,False
2018-05-27,76,False
2018-06-03,25,False
2018-06-10,40,False
2018-06-17,77,False
2018-06-24,32,False
2018-07-01,20,False
2018-07-08,33,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,69,False
2018-08-05,54,False
2018-08-12,18,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,16,False
2018-09-16,20,False
2018-09-23,16,False
2018-09-30,4,False
2018-10-07,16,False
2018-10-14,8,False
2018-10-21,8,False
2018-10-28,12,False
2018-11-04,8,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,4,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,8,False
2018-12-23,5,False
2018-12-30,4,False
2019-01-06,4,False
2019-01-13,0,False
2019-01-20,7,False
2019-01-27,11,False
2019-02-03,19,False
2019-02-10,26,False
2019-02-17,19,False
2019-02-24,11,False
2019-03-03,26,False
2019-03-10,7,False
2019-03-17,31,False
2019-03-24,27,False
2019-03-31,31,False
2019-04-07,19,False
2019-04-14,46,False
2019-04-21,62,False
2019-04-28,35,False
2019-05-05,19,False
2019-05-12,23,False
2019-05-19,26,False
2019-05-26,23,False
2019-06-02,47,False
2019-06-09,100,False
2019-06-16,90,False
2019-06-23,72,False
2019-06-30,55,False
2019-07-07,31,False
2019-07-14,41,False
2019-07-21,50,False
2019-07-28,72,False
2019-08-04,8,False
2019-08-11,45,False
2019-08-18,12,False
2019-08-25,19,False
2019-09-01,11,False
2019-09-08,4,False
2019-09-15,15,False
2019-09-22,0,False
2019-09-29,7,False
2019-10-06,0,False
2019-10-13,4,False
2019-10-20,11,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,7,False
2019-11-17,18,False
2019-11-24,7,False
2019-12-01,0,False
2019-12-08,14,False
2019-12-15,7,False
2019-12-22,8,False
2019-12-29,0,False
2020-01-05,3,False
2020-01-12,10,False
2020-01-19,7,False
2020-01-26,10,False
2020-02-02,10,False
2020-02-09,3,False
2020-02-16,7,False
2020-02-23,3,False
2020-03-01,16,False
2020-03-08,12,False
2020-03-15,9,False
2020-03-22,24,False
2020-03-29,31,False
2020-04-05,41,False
2020-04-12,69,False
2020-04-19,66,False
2020-04-26,61,False
2020-05-03,26,False
2020-05-10,61,False
2020-05-17,55,False
2020-05-24,55,False
2020-05-31,43,False
2020-06-07,50,False
2020-06-14,29,False
2020-06-21,50,False
2020-06-28,53,False
2020-07-05,69,False
