date,matrimonio di lusso,matrimonio costo medio,isPartial
2018-01-07,34,33,False
2018-01-14,0,0,False
2018-01-21,33,0,False
2018-01-28,33,33,False
2018-02-04,32,0,False
2018-02-11,0,0,False
2018-02-18,32,64,False
2018-02-25,31,0,False
2018-03-04,0,0,False
2018-03-11,64,32,False
2018-03-18,32,32,False
2018-03-25,34,34,False
2018-04-01,0,0,False
2018-04-08,33,0,False
2018-04-15,0,0,False
2018-04-22,35,0,False
2018-04-29,0,33,False
2018-05-06,0,33,False
2018-05-13,33,0,False
2018-05-20,0,0,False
2018-05-27,50,0,False
2018-06-03,50,34,False
2018-06-10,63,0,False
2018-06-17,0,33,False
2018-06-24,0,34,False
2018-07-01,0,33,False
2018-07-08,33,33,False
2018-07-15,67,34,False
2018-07-22,0,0,False
2018-07-29,0,0,False
2018-08-05,0,35,False
2018-08-12,0,37,False
2018-08-19,0,73,False
2018-08-26,34,34,False
2018-09-02,32,32,False
2018-09-09,32,32,False
2018-09-16,32,0,False
2018-09-23,32,32,False
2018-09-30,0,0,False
2018-10-07,33,33,False
2018-10-14,0,34,False
2018-10-21,0,33,False
2018-10-28,0,33,False
2018-11-04,0,0,False
2018-11-11,0,0,False
2018-11-18,0,0,False
2018-11-25,0,33,False
2018-12-02,33,0,False
2018-12-09,34,34,False
2018-12-16,34,0,False
2018-12-23,39,0,False
2018-12-30,0,72,False
2019-01-06,0,0,False
2019-01-13,0,0,False
2019-01-20,0,31,False
2019-01-27,0,46,False
2019-02-03,0,0,False
2019-02-10,0,0,False
2019-02-17,0,32,False
2019-02-24,48,32,False
2019-03-03,0,33,False
2019-03-10,0,32,False
2019-03-17,33,33,False
2019-03-24,0,0,False
2019-03-31,33,0,False
2019-04-07,0,32,False
2019-04-14,0,0,False
2019-04-21,35,0,False
2019-04-28,65,33,False
2019-05-05,0,0,False
2019-05-12,0,31,False
2019-05-19,0,0,False
2019-05-26,30,30,False
2019-06-02,64,32,False
2019-06-09,49,33,False
2019-06-16,33,0,False
2019-06-23,34,0,False
2019-06-30,33,100,False
2019-07-07,0,32,False
2019-07-14,0,66,False
2019-07-21,67,0,False
2019-07-28,0,0,False
2019-08-04,0,35,False
2019-08-11,37,0,False
2019-08-18,34,0,False
2019-08-25,32,32,False
2019-09-01,0,60,False
2019-09-08,0,0,False
2019-09-15,60,0,False
2019-09-22,60,0,False
2019-09-29,0,76,False
2019-10-06,0,31,False
2019-10-13,0,31,False
2019-10-20,30,0,False
2019-10-27,30,30,False
2019-11-03,0,29,False
2019-11-10,29,30,False
2019-11-17,0,29,False
2019-11-24,29,0,False
2019-12-01,0,0,False
2019-12-08,0,31,False
2019-12-15,0,0,False
2019-12-22,0,35,False
2019-12-29,34,68,False
2020-01-05,45,30,False
2020-01-12,28,0,False
2020-01-19,0,0,False
2020-01-26,0,0,False
2020-02-02,0,28,False
2020-02-09,29,58,False
2020-02-16,0,28,False
2020-02-23,0,27,False
2020-03-01,27,27,False
2020-03-08,0,0,False
2020-03-15,0,0,False
2020-03-22,24,24,False
2020-03-29,0,0,False
2020-04-05,26,0,False
2020-04-12,0,0,False
2020-04-19,0,0,False
2020-04-26,0,0,False
2020-05-03,0,0,True
