date,Hochzeit Kosten,Hochzeit günstig,isPartial
2018-01-07,36,36,False
2018-01-14,72,72,False
2018-01-21,24,47,False
2018-01-28,47,35,False
2018-02-04,0,0,False
2018-02-11,24,48,False
2018-02-18,24,36,False
2018-02-25,36,0,False
2018-03-04,35,81,False
2018-03-11,35,23,False
2018-03-18,0,23,False
2018-03-25,38,38,False
2018-04-01,27,26,False
2018-04-08,25,25,False
2018-04-15,25,0,False
2018-04-22,0,0,False
2018-04-29,100,37,False
2018-05-06,26,0,False
2018-05-13,25,25,False
2018-05-20,39,0,False
2018-05-27,24,24,False
2018-06-03,49,49,False
2018-06-10,23,23,False
2018-06-17,24,0,False
2018-06-24,25,25,False
2018-07-01,25,0,False
2018-07-08,52,25,False
2018-07-15,54,53,False
2018-07-22,29,0,False
2018-07-29,57,29,False
2018-08-05,55,41,False
2018-08-12,83,27,False
2018-08-19,26,0,False
2018-08-26,25,25,False
2018-09-02,74,24,False
2018-09-09,25,24,False
2018-09-16,0,25,False
2018-09-23,25,0,False
2018-09-30,76,0,False
2018-10-07,41,30,False
2018-10-14,50,25,False
2018-10-21,51,26,False
2018-10-28,50,0,False
2018-11-04,46,92,False
2018-11-11,24,0,False
2018-11-18,24,0,False
2018-11-25,0,47,False
2018-12-02,0,0,False
2018-12-09,25,0,False
2018-12-16,0,0,False
2018-12-23,33,0,False
2018-12-30,0,0,False
2019-01-06,0,0,False
2019-01-13,0,20,False
2019-01-20,0,21,False
2019-01-27,37,19,False
2019-02-03,0,0,False
2019-02-10,24,47,False
2019-02-17,46,0,False
2019-02-24,23,0,False
2019-03-03,39,19,False
2019-03-10,0,35,False
2019-03-17,24,0,False
2019-03-24,24,0,False
2019-03-31,0,0,False
2019-04-07,58,19,False
2019-04-14,0,27,False
2019-04-21,27,0,False
2019-04-28,68,29,False
2019-05-05,23,0,False
2019-05-12,24,24,False
2019-05-19,24,23,False
2019-05-26,25,0,False
2019-06-02,41,31,False
2019-06-09,0,24,False
2019-06-16,36,0,False
2019-06-23,50,0,False
2019-06-30,50,0,False
2019-07-07,48,24,False
2019-07-14,25,25,False
2019-07-21,26,26,False
2019-07-28,25,24,False
2019-08-04,0,24,False
2019-08-11,24,0,False
2019-08-18,24,0,False
2019-08-25,89,22,False
2019-09-01,44,0,False
2019-09-08,35,0,False
2019-09-15,0,0,False
2019-09-22,23,0,False
2019-09-29,21,21,False
2019-10-06,0,0,False
2019-10-13,0,0,False
2019-10-20,23,0,False
2019-10-27,0,22,False
2019-11-03,20,0,False
2019-11-10,22,0,False
2019-11-17,0,0,False
2019-11-24,22,0,False
2019-12-01,31,0,False
2019-12-08,0,22,False
2019-12-15,24,0,False
2019-12-22,59,0,False
2019-12-29,24,0,False
2020-01-05,41,0,False
2020-01-12,43,0,False
2020-01-19,22,22,False
2020-01-26,22,0,False
2020-02-02,22,23,False
2020-02-09,39,0,False
2020-02-16,22,0,False
2020-02-23,41,0,False
2020-03-01,40,0,False
2020-03-08,0,0,False
2020-03-15,20,0,False
2020-03-22,0,21,False
2020-03-29,0,0,False
2020-04-05,42,0,False
2020-04-12,0,0,False
2020-04-19,21,0,False
2020-04-26,40,0,False
2020-05-03,0,0,False
2020-05-10,21,0,False
2020-05-17,0,23,False
2020-05-24,22,0,False
2020-05-31,0,0,False
2020-06-07,23,0,True
