date,mariage cher,mariage luxe,mariage pas cher ,isPartial
2018-01-07,15,0,15,False
2018-01-14,30,0,30,False
2018-01-21,15,0,15,False
2018-01-28,30,0,30,False
2018-02-04,30,0,30,False
2018-02-11,15,0,15,False
2018-02-18,0,0,0,False
2018-02-25,63,0,63,False
2018-03-04,32,0,32,False
2018-03-11,0,0,0,False
2018-03-18,0,0,0,False
2018-03-25,31,0,31,False
2018-04-01,32,0,32,False
2018-04-08,31,0,15,False
2018-04-15,49,0,49,False
2018-04-22,31,0,31,False
2018-04-29,17,0,17,False
2018-05-06,34,0,34,False
2018-05-13,32,0,32,False
2018-05-20,32,0,32,False
2018-05-27,15,0,15,False
2018-06-03,15,0,15,False
2018-06-10,44,0,44,False
2018-06-17,16,0,16,False
2018-06-24,16,0,16,False
2018-07-01,93,0,93,False
2018-07-08,32,0,32,False
2018-07-15,100,0,100,False
2018-07-22,17,0,17,False
2018-07-29,16,0,16,False
2018-08-05,17,0,17,False
2018-08-12,17,0,17,False
2018-08-19,33,0,33,False
2018-08-26,48,0,48,False
2018-09-02,33,0,33,False
2018-09-09,32,0,32,False
2018-09-16,0,0,0,False
2018-09-23,16,0,16,False
2018-09-30,16,0,16,False
2018-10-07,16,0,16,False
2018-10-14,33,0,33,False
2018-10-21,49,0,49,False
2018-10-28,16,0,16,False
2018-11-04,0,0,0,False
2018-11-11,0,0,0,False
2018-11-18,15,0,15,False
2018-11-25,14,0,14,False
2018-12-02,15,0,15,False
2018-12-09,15,0,15,False
2018-12-16,15,0,15,False
2018-12-23,17,0,17,False
2018-12-30,0,0,0,False
2019-01-06,0,0,0,False
2019-01-13,29,0,15,False
2019-01-20,15,0,15,False
2019-01-27,29,0,29,False
2019-02-03,29,0,29,False
2019-02-10,16,0,16,False
2019-02-17,31,0,31,False
2019-02-24,30,0,30,False
2019-03-03,29,0,29,False
2019-03-10,0,0,0,False
2019-03-17,16,0,16,False
2019-03-24,15,0,0,False
2019-03-31,31,0,31,False
2019-04-07,49,0,49,False
2019-04-14,33,0,33,False
2019-04-21,31,0,31,False
2019-04-28,15,0,15,False
2019-05-05,0,0,0,False
2019-05-12,16,0,16,False
2019-05-19,0,0,0,False
2019-05-26,16,0,16,False
2019-06-02,29,0,29,False
2019-06-09,30,0,30,False
2019-06-16,31,0,31,False
2019-06-23,15,0,15,False
2019-06-30,15,0,15,False
2019-07-07,30,0,30,False
2019-07-14,15,0,15,False
2019-07-21,31,0,31,False
2019-07-28,33,0,33,False
2019-08-04,32,0,32,False
2019-08-11,15,0,15,False
2019-08-18,31,0,31,False
2019-08-25,45,0,45,False
2019-09-01,0,0,0,False
2019-09-08,45,0,30,False
2019-09-15,15,0,15,False
2019-09-22,28,0,14,False
2019-09-29,14,0,0,False
2019-10-06,14,0,14,False
2019-10-13,0,0,0,False
2019-10-20,14,0,14,False
2019-10-27,14,0,14,False
2019-11-03,0,0,0,False
2019-11-10,0,0,0,False
2019-11-17,14,0,14,False
2019-11-24,13,0,13,False
2019-12-01,14,0,14,False
2019-12-08,0,0,0,False
2019-12-15,14,0,14,False
2019-12-22,0,0,0,False
2019-12-29,29,0,29,False
2020-01-05,13,0,13,False
2020-01-12,38,0,38,False
2020-01-19,54,0,54,False
2020-01-26,0,0,0,False
2020-02-02,0,0,0,False
2020-02-09,13,0,13,False
2020-02-16,13,0,13,False
2020-02-23,26,0,26,False
2020-03-01,25,0,25,False
2020-03-08,50,0,38,False
2020-03-15,0,0,0,False
2020-03-22,0,0,0,False
2020-03-29,0,0,0,False
2020-04-05,11,0,11,False
2020-04-12,0,0,0,False
2020-04-19,0,0,0,False
2020-04-26,10,0,10,False
2020-05-03,0,0,0,True
