date,Hochzeit Kosten,Hochzeit günstig,isPartial
2018-01-07,16,16,False
2018-01-14,41,16,False
2018-01-21,49,33,False
2018-01-28,32,16,False
2018-02-04,49,16,False
2018-02-11,50,33,False
2018-02-18,33,0,False
2018-02-25,50,17,False
2018-03-04,25,17,False
2018-03-11,42,16,False
2018-03-18,0,33,False
2018-03-25,0,36,False
2018-04-01,37,18,False
2018-04-08,17,17,False
2018-04-15,18,0,False
2018-04-22,27,18,False
2018-04-29,36,0,False
2018-05-06,0,18,False
2018-05-13,26,17,False
2018-05-20,44,18,False
2018-05-27,35,0,False
2018-06-03,18,17,False
2018-06-10,60,17,False
2018-06-17,44,0,False
2018-06-24,45,0,False
2018-07-01,0,18,False
2018-07-08,28,37,False
2018-07-15,55,18,False
2018-07-22,18,0,False
2018-07-29,36,36,False
2018-08-05,35,0,False
2018-08-12,27,35,False
2018-08-19,35,17,False
2018-08-26,25,17,False
2018-09-02,25,17,False
2018-09-09,34,17,False
2018-09-16,26,0,False
2018-09-23,35,0,False
2018-09-30,27,18,False
2018-10-07,35,0,False
2018-10-14,34,0,False
2018-10-21,33,0,False
2018-10-28,25,0,False
2018-11-04,16,0,False
2018-11-11,50,0,False
2018-11-18,17,0,False
2018-11-25,53,0,False
2018-12-02,26,17,False
2018-12-09,35,17,False
2018-12-16,0,18,False
2018-12-23,41,0,False
2018-12-30,75,19,False
2019-01-06,26,0,False
2019-01-13,33,0,False
2019-01-20,33,16,False
2019-01-27,58,16,False
2019-02-03,33,0,False
2019-02-10,16,16,False
2019-02-17,33,16,False
2019-02-24,51,0,False
2019-03-03,17,0,False
2019-03-10,16,0,False
2019-03-17,34,0,False
2019-03-24,17,17,False
2019-03-31,41,16,False
2019-04-07,51,0,False
2019-04-14,36,0,False
2019-04-21,36,0,False
2019-04-28,17,0,False
2019-05-05,64,0,False
2019-05-12,17,17,False
2019-05-19,33,16,False
2019-05-26,17,17,False
2019-06-02,41,0,False
2019-06-09,17,25,False
2019-06-16,35,0,False
2019-06-23,26,0,False
2019-06-30,69,0,False
2019-07-07,43,34,False
2019-07-14,53,18,False
2019-07-21,27,18,False
2019-07-28,55,18,False
2019-08-04,69,0,False
2019-08-11,41,16,False
2019-08-18,100,0,False
2019-08-25,33,0,False
2019-09-01,65,32,False
2019-09-08,17,0,False
2019-09-15,42,17,False
2019-09-22,33,0,False
2019-09-29,35,0,False
2019-10-06,17,0,False
2019-10-13,24,0,False
2019-10-20,23,0,False
2019-10-27,31,0,False
2019-11-03,23,0,False
2019-11-10,0,0,False
2019-11-17,16,0,False
2019-11-24,46,0,False
2019-12-01,31,16,False
2019-12-08,16,0,False
2019-12-15,0,16,False
2019-12-22,19,37,False
2019-12-29,26,0,False
2020-01-05,47,16,False
2020-01-12,45,15,False
2020-01-19,38,0,False
2020-01-26,22,0,False
2020-02-02,37,0,False
2020-02-09,58,0,False
2020-02-16,15,15,False
2020-02-23,15,0,False
2020-03-01,30,15,False
2020-03-08,0,0,False
2020-03-15,14,0,False
2020-03-22,21,0,False
2020-03-29,0,0,False
2020-04-05,23,0,False
2020-04-12,0,0,False
2020-04-19,42,0,False
2020-04-26,14,0,False
2020-05-03,55,0,False
2020-05-10,14,14,False
2020-05-17,15,0,False
2020-05-24,28,14,False
2020-05-31,56,14,False
2020-06-07,24,16,True
