date,bodas baratas,isPartial
2018-01-07,49,False
2018-01-14,32,False
2018-01-21,65,False
2018-01-28,56,False
2018-02-04,64,False
2018-02-11,41,False
2018-02-18,24,False
2018-02-25,39,False
2018-03-04,47,False
2018-03-11,71,False
2018-03-18,65,False
2018-03-25,90,False
2018-04-01,99,False
2018-04-08,100,False
2018-04-15,64,False
2018-04-22,16,False
2018-04-29,57,False
2018-05-06,47,False
2018-05-13,32,False
2018-05-20,48,False
2018-05-27,40,False
2018-06-03,78,False
2018-06-10,38,False
2018-06-17,33,False
2018-06-24,41,False
2018-07-01,41,False
2018-07-08,57,False
2018-07-15,93,False
2018-07-22,59,False
2018-07-29,26,False
2018-08-05,59,False
2018-08-12,52,False
2018-08-19,26,False
2018-08-26,58,False
2018-09-02,64,False
2018-09-09,48,False
2018-09-16,40,False
2018-09-23,31,False
2018-09-30,32,False
2018-10-07,33,False
2018-10-14,39,False
2018-10-21,71,False
2018-10-28,17,False
2018-11-04,30,False
2018-11-11,23,False
2018-11-18,68,False
2018-11-25,31,False
2018-12-02,16,False
2018-12-09,25,False
2018-12-16,16,False
2018-12-23,28,False
2018-12-30,35,False
2019-01-06,40,False
2019-01-13,38,False
2019-01-20,44,False
2019-01-27,29,False
2019-02-03,55,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,23,False
2019-03-03,56,False
2019-03-10,40,False
2019-03-17,16,False
2019-03-24,31,False
2019-03-31,92,False
2019-04-07,45,False
2019-04-14,49,False
2019-04-21,31,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,68,False
2019-05-26,30,False
2019-06-02,74,False
2019-06-09,37,False
2019-06-16,62,False
2019-06-23,80,False
2019-06-30,96,False
2019-07-07,61,False
2019-07-14,40,False
2019-07-21,32,False
2019-07-28,41,False
2019-08-04,50,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,54,False
2019-09-01,22,False
2019-09-08,44,False
2019-09-15,36,False
2019-09-22,51,False
2019-09-29,51,False
2019-10-06,36,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,21,False
2019-11-03,14,False
2019-11-10,55,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,16,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,39,False
2020-01-19,72,False
2020-01-26,33,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,34,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,0,False
2020-04-19,11,False
2020-04-26,0,True
