date,mariage cher,mariage luxe,mariage pas cher ,isPartial
2018-01-07,74,0,74,False
2018-01-14,98,0,86,False
2018-01-21,24,0,24,False
2018-01-28,100,50,100,False
2018-02-04,24,0,24,False
2018-02-11,24,25,24,False
2018-02-18,77,0,77,False
2018-02-25,72,0,72,False
2018-03-04,24,0,24,False
2018-03-11,50,0,25,False
2018-03-18,49,0,49,False
2018-03-25,87,0,87,False
2018-04-01,76,0,76,False
2018-04-08,23,0,23,False
2018-04-15,40,27,54,False
2018-04-22,64,0,64,False
2018-04-29,36,0,36,False
2018-05-06,73,0,73,False
2018-05-13,61,24,61,False
2018-05-20,50,0,50,False
2018-05-27,48,24,48,False
2018-06-03,62,0,62,False
2018-06-10,35,24,35,False
2018-06-17,25,0,25,False
2018-06-24,50,0,50,False
2018-07-01,36,24,36,False
2018-07-08,47,0,35,False
2018-07-15,96,0,72,False
2018-07-22,47,0,47,False
2018-07-29,46,0,46,False
2018-08-05,22,0,22,False
2018-08-12,33,22,33,False
2018-08-19,0,0,0,False
2018-08-26,47,0,47,False
2018-09-02,24,0,24,False
2018-09-09,0,25,0,False
2018-09-16,50,0,50,False
2018-09-23,76,25,76,False
2018-09-30,64,0,64,False
2018-10-07,25,25,25,False
2018-10-14,25,25,25,False
2018-10-21,27,0,27,False
2018-10-28,76,25,76,False
2018-11-04,37,25,37,False
2018-11-11,25,50,25,False
2018-11-18,25,25,25,False
2018-11-25,25,0,25,False
2018-12-02,78,0,78,False
2018-12-09,26,0,26,False
2018-12-16,0,27,0,False
2018-12-23,0,0,0,False
2018-12-30,55,0,55,False
2019-01-06,26,0,26,False
2019-01-13,38,0,38,False
2019-01-20,49,25,49,False
2019-01-27,48,0,48,False
2019-02-03,50,25,38,False
2019-02-10,25,25,25,False
2019-02-17,26,0,26,False
2019-02-24,26,0,26,False
2019-03-03,26,0,26,False
2019-03-10,26,0,26,False
2019-03-17,39,0,39,False
2019-03-24,26,0,26,False
2019-03-31,25,0,25,False
2019-04-07,37,0,50,False
2019-04-14,36,0,36,False
2019-04-21,61,0,61,False
2019-04-28,25,0,25,False
2019-05-05,37,24,37,False
2019-05-12,49,0,49,False
2019-05-19,36,0,48,False
2019-05-26,24,0,24,False
2019-06-02,47,0,47,False
2019-06-09,23,0,23,False
2019-06-16,73,24,73,False
2019-06-23,24,0,24,False
2019-06-30,23,23,23,False
2019-07-07,22,22,22,False
2019-07-14,45,0,34,False
2019-07-21,32,0,32,False
2019-07-28,0,0,0,False
2019-08-04,41,21,41,False
2019-08-11,20,21,20,False
2019-08-18,29,19,29,False
2019-08-25,19,0,0,False
2019-09-01,44,22,44,False
2019-09-08,34,0,34,False
2019-09-15,89,0,89,False
2019-09-22,34,0,34,False
2019-09-29,0,0,0,False
2019-10-06,23,23,23,False
2019-10-13,68,22,45,False
2019-10-20,45,0,45,False
2019-10-27,33,0,22,False
2019-11-03,45,0,45,False
2019-11-10,45,0,33,False
2019-11-17,44,0,22,False
2019-11-24,22,0,22,False
2019-12-01,22,0,22,False
2019-12-08,33,0,33,False
2019-12-15,0,0,0,False
2019-12-22,0,0,0,False
2019-12-29,72,0,72,False
2020-01-05,33,0,33,False
2020-01-12,21,0,21,False
2020-01-19,42,0,42,False
2020-01-26,22,0,22,False
2020-02-02,44,0,44,False
2020-02-09,45,0,34,False
2020-02-16,22,0,22,False
2020-02-23,61,20,40,False
2020-03-01,50,0,50,False
2020-03-08,21,21,21,False
2020-03-15,18,0,18,False
2020-03-22,0,0,0,False
2020-03-29,18,0,18,False
2020-04-05,0,0,0,False
2020-04-12,18,0,18,False
2020-04-19,17,0,17,False
2020-04-26,0,0,0,False
2020-05-03,0,0,0,True
